B&G Foods PE Ratio Historical Data,B&G Foods PE Ratio Historical Data,B&G Foods PE Ratio Historical Data,B&G Foods PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,6.9,,0.0
2024-12-31,6.89,$-3.18,0.0
2024-09-30,8.88,$-0.34,0.0
2024-06-30,7.91,$-1.54,0.0
2024-03-31,10.94,$-1.44,0.0
2023-12-31,9.88,$-0.88,0.0
2023-09-30,9.14,$-0.57,0.0
2023-06-30,12.62,$-0.29,0.0
2023-03-31,13.89,$-0.44,0.0
2022-12-31,9.85,$-0.15,0.0
2022-09-30,14.33,$-0.56,0.0
2022-06-30,20.1,$0.59,34.06
2022-03-31,22.34,$0.97,23.03
2021-12-31,25.0,$1.04,24.04
2021-09-30,23.95,$1.30,18.43
2021-06-30,25.89,$1.70,15.23
2021-03-31,24.17,$2.02,11.96
2020-12-31,21.25,$2.05,10.37
2020-09-30,20.93,$2.02,10.36
2020-06-30,18.07,$1.78,10.15
2020-03-31,13.15,$1.36,9.67
2019-12-31,12.68,$1.18,10.74
2019-09-30,13.02,$2.72,4.79
2019-06-30,13.97,$2.72,5.14
2019-03-31,16.04,$2.56,6.26
2018-12-31,18.62,$2.61,7.14
2018-09-30,17.41,$2.86,6.09
2018-06-30,18.64,$2.87,6.5
2018-03-31,14.56,$3.08,4.73
2017-12-31,21.19,$3.26,6.5
2017-09-30,18.95,$1.51,12.55
2017-06-30,20.86,$1.52,13.73
2017-03-31,23.29,$1.67,13.95
2016-12-31,25.07,$1.74,14.41
2016-09-30,27.85,$1.73,16.1
2016-06-30,27.06,$1.57,17.24
2016-03-31,19.37,$1.42,13.64
2015-12-31,19.25,$1.22,15.78
2015-09-30,19.84,$1.24,16.0
2015-06-30,15.38,$0.82,18.76
2015-03-31,15.69,$0.79,19.86
2014-12-31,15.76,$0.76,20.73
2014-09-30,14.36,$0.90,15.95
2014-06-30,16.83,$1.27,13.25
2014-03-31,15.34,$0.94,16.32
2013-12-31,17.08,$0.98,17.43
2013-09-30,17.23,$0.81,21.28
2013-06-30,16.83,$0.87,19.34
2013-03-31,14.94,$1.23,12.15
2012-12-31,13.74,$1.21,11.36
2012-09-30,14.56,$1.28,11.38
2012-06-30,12.67,$1.18,10.74
2012-03-31,10.61,$1.11,9.56
2011-12-31,11.22,$1.03,10.89
2011-09-30,7.7,$1.07,7.19
2011-06-30,9.4,$1.01,9.3
2011-03-31,8.47,$0.93,9.1
2010-12-31,6.13,$0.67,9.14
2010-09-30,4.81,$0.41,11.74
2010-06-30,4.68,$0.33,14.18
2010-03-31,4.48,$0.32,14.01
2009-12-31,3.86,$0.47,8.21
