T-Mobile US PE Ratio Historical Data,T-Mobile US PE Ratio Historical Data,T-Mobile US PE Ratio Historical Data,T-Mobile US PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,257.03,,26.58
2024-12-31,220.73,$9.67,22.83
2024-09-30,205.63,$8.77,23.45
2024-06-30,174.98,$7.98,21.93
2024-03-31,161.51,$7.35,21.97
2023-12-31,158.02,$6.93,22.8
2023-09-30,137.44,$6.44,21.34
2023-06-30,136.31,$5.02,27.15
2023-03-31,142.14,$3.07,46.3
2022-12-31,137.39,$2.06,66.69
2022-09-30,131.67,$1.22,107.92
2022-06-30,132.03,$1.37,96.37
2022-03-31,125.96,$2.24,56.23
2021-12-31,113.82,$2.41,47.23
2021-09-30,125.38,$2.67,46.96
2021-06-30,142.13,$3.12,45.55
2021-03-31,122.95,$2.43,50.6
2020-12-31,132.34,$2.79,47.43
2020-09-30,112.23,$3.06,36.68
2020-06-30,102.21,$3.07,33.29
2020-03-31,82.34,$4.07,20.23
2019-12-31,76.96,$4.03,19.1
2019-09-30,77.3,$3.91,19.77
2019-06-30,72.76,$3.83,19.0
2019-03-31,67.81,$3.66,18.53
2018-12-31,62.42,$3.38,18.47
2018-09-30,68.87,$5.74,12.0
2018-06-30,58.64,$5.44,10.78
2018-03-31,59.9,$5.19,11.54
2017-12-31,62.33,$5.21,11.96
2017-09-30,60.51,$2.55,23.73
2017-06-30,59.49,$2.34,25.42
2017-03-31,63.39,$1.92,33.01
2016-12-31,56.44,$1.68,33.59
2016-09-30,45.85,$1.57,29.2
2016-06-30,42.46,$1.30,32.66
2016-03-31,37.59,$1.47,25.57
2015-12-31,38.39,$0.82,46.82
2015-09-30,39.07,$0.60,65.11
2015-06-30,38.05,$0.33,115.29
2015-03-31,31.1,$0.39,79.74
2014-12-31,26.44,$0.29,91.16
2014-09-30,28.33,$0.14,202.37
2014-06-30,32.99,$0.21,157.11
2014-03-31,32.41,$-0.29,0.0
2013-12-31,33.01,0,0.0
2013-09-30,25.49,$0.21,121.36
2013-06-30,24.35,$1.30,18.73
2013-03-31,14.36,$2.14,6.71
2012-12-31,13.09,$2.16,6.06
2012-09-30,15.42,$2.48,6.22
2012-06-30,7.97,$1.82,4.38
2012-03-31,11.88,$1.46,8.14
2011-12-31,11.43,$1.66,6.89
2011-09-30,11.47,$1.24,9.25
2011-06-30,22.67,$1.30,17.43
2011-03-31,21.39,$1.28,16.71
2010-12-31,16.63,$1.08,15.4
2010-09-30,13.78,$1.18,11.67
2010-06-30,10.79,$1.16,9.3
2010-03-31,9.32,$0.86,10.84
2009-12-31,10.05,$0.98,10.25
