Instil Bio PE Ratio Historical Data,Instil Bio PE Ratio Historical Data,Instil Bio PE Ratio Historical Data,Instil Bio PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,19.71,,0.0
2024-12-31,19.09,$-11.39,0.0
2024-09-30,67.32,$-11.56,0.0
2024-06-30,10.29,$-18.42,0.0
2024-03-31,10.8,$-18.93,0.0
2023-12-31,7.62,$-23.99,0.0
2023-09-30,0.43,$-30.20,0.0
2023-06-30,0.55,$-28.40,0.0
2023-03-31,0.66,$-34.80,0.0
2022-12-31,0.63,$-34.40,0.0
2022-09-30,4.84,$-34.80,0.0
2022-06-30,4.62,$-32.80,0.0
2022-03-31,10.75,$-29.00,0.0
2021-12-31,17.11,$-33.80,0.0
