Gold Resource PE Ratio Historical Data,Gold Resource PE Ratio Historical Data,Gold Resource PE Ratio Historical Data,Gold Resource PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.52,,0.0
2024-09-30,0.35,$-0.49,0.0
2024-06-30,0.37,$-0.46,0.0
2024-03-31,0.43,$-0.21,0.0
2023-12-31,0.38,$-0.17,0.0
2023-09-30,0.43,$-0.18,0.0
2023-06-30,0.63,$-0.21,0.0
2023-03-31,1.05,$-0.13,0.0
2022-12-31,1.53,$-0.07,0.0
2022-09-30,1.64,0,0.0
2022-06-30,1.61,$0.13,12.39
2022-03-31,2.2,$0.12,18.34
2021-12-31,1.53,$0.10,15.26
2021-09-30,1.53,$0.07,21.81
2021-06-30,2.49,$0.12,20.79
2021-03-31,2.54,$0.07,36.29
2020-12-31,2.79,$-0.01,0.0
2020-09-30,3.26,$-0.01,0.0
2020-06-30,3.92,$-0.03,0.0
2020-03-31,2.62,$0.03,87.19
2019-12-31,5.26,$0.09,58.42
2019-09-30,2.89,$0.10,28.89
2019-06-30,3.2,$0.04,79.97
2019-03-31,3.71,$0.07,53.05
2018-12-31,3.78,$0.15,25.17
2018-09-30,4.85,$0.03,161.52
2018-06-30,6.21,$0.12,51.73
2018-03-31,4.24,$0.08,53.05
2017-12-31,4.14,$0.07,59.08
2017-09-30,3.52,$0.12,29.33
2017-06-30,3.82,$0.07,54.64
2017-03-31,4.23,$0.15,28.21
2016-12-31,4.07,$0.08,50.86
2016-09-30,6.92,$0.10,69.18
2016-06-30,3.34,$0.06,55.74
2016-03-31,2.17,$-0.03,0.0
2015-12-31,1.54,$0.05,30.79
2015-09-30,2.32,$0.09,25.75
2015-06-30,2.5,$0.07,35.65
2015-03-31,2.86,$0.20,14.29
2014-12-31,3.0,$0.24,12.5
2014-09-30,4.51,$0.16,28.19
2014-06-30,4.43,$0.16,27.71
2014-03-31,4.16,$-0.01,0.0
2013-12-31,3.92,$-0.01,0.0
2013-09-30,5.62,$0.24,23.44
2013-06-30,7.32,$0.40,18.31
2013-03-31,10.83,$0.49,22.11
2012-12-31,12.65,$0.65,19.45
2012-09-30,17.42,$1.16,15.02
2012-06-30,20.93,$1.30,16.1
2012-03-31,19.45,$1.30,14.96
2011-12-31,16.9,$1.05,16.09
2011-09-30,13.15,$0.18,73.04
2011-06-30,19.58,$-0.11,0.0
2011-03-31,20.82,$-0.29,0.0
2010-12-31,22.91,$-0.48,0.0
2010-09-30,14.49,$-0.42,0.0
2010-06-30,9.98,$-0.61,0.0
2010-03-31,8.04,$-0.74,0.0
2009-12-31,8.7,$-0.78,0.0
