Southside Bancshares PE Ratio Historical Data,Southside Bancshares PE Ratio Historical Data,Southside Bancshares PE Ratio Historical Data,Southside Bancshares PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,29.17,,10.02
2024-12-31,31.76,$2.91,10.91
2024-09-30,33.09,$2.77,11.95
2024-06-30,27.03,$2.69,10.05
2024-03-31,28.24,$2.69,10.5
2023-12-31,29.89,$2.81,10.64
2023-09-30,27.04,$3.11,8.69
2023-06-30,24.37,$3.35,7.27
2023-03-31,30.54,$3.33,9.17
2022-12-31,32.82,$3.27,10.04
2022-09-30,31.9,$3.28,9.73
2022-06-30,33.49,$3.34,10.03
2022-03-31,36.22,$3.20,11.32
2021-12-31,36.81,$3.47,10.61
2021-09-30,33.41,$3.48,9.6
2021-06-30,33.06,$3.40,9.72
2021-03-31,33.04,$3.40,9.72
2020-12-31,26.37,$2.48,10.63
2020-09-30,20.52,$2.10,9.77
2020-06-30,23.03,$1.86,12.38
2020-03-31,24.97,$1.76,14.19
2019-12-31,30.25,$2.20,13.75
2019-09-30,27.52,$2.19,12.57
2019-06-30,25.88,$2.19,11.82
2019-03-31,26.32,$2.21,11.91
2018-12-31,24.94,$2.11,11.82
2018-09-30,27.06,$1.94,13.95
2018-06-30,25.98,$1.85,14.04
2018-03-31,26.56,$1.77,15.01
2017-12-31,25.54,$1.82,14.06
2017-09-30,27.34,$1.91,14.34
2017-06-30,26.05,$1.89,13.75
2017-03-31,24.22,$1.82,13.28
2016-12-31,26.99,$1.82,14.84
2016-09-30,22.87,$1.83,12.52
2016-06-30,21.8,$1.78,12.28
2016-03-31,17.37,$1.77,9.84
2015-12-31,15.84,$1.61,9.86
2015-09-30,17.97,$1.00,17.91
2015-06-30,18.9,$0.86,22.01
2015-03-31,17.52,$0.94,18.71
2014-12-31,17.52,$0.98,17.84
2014-09-30,19.96,$1.73,11.52
2014-06-30,17.26,$1.80,9.57
2014-03-31,17.67,$1.79,9.88
2013-12-31,15.28,$1.80,8.47
2013-09-30,14.83,$1.61,9.22
2013-06-30,13.09,$1.66,7.91
2013-03-31,10.87,$1.54,7.04
2012-12-31,10.8,$1.61,6.73
2012-09-30,10.9,$1.72,6.32
2012-06-30,11.13,$1.86,5.99
2012-03-31,10.33,$2.01,5.14
2011-12-31,10.04,$1.89,5.32
2011-09-30,8.19,$1.74,4.7
2011-06-30,8.95,$1.72,5.21
2011-03-31,9.11,$1.63,5.6
2010-12-31,8.9,$1.82,4.89
2010-09-30,7.85,$1.95,4.03
2010-06-30,8.09,$1.92,4.22
2010-03-31,8.39,$1.93,4.35
2009-12-31,7.57,$2.02,3.75
