ScPharmaceuticals PE Ratio Historical Data,ScPharmaceuticals PE Ratio Historical Data,ScPharmaceuticals PE Ratio Historical Data,ScPharmaceuticals PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,3.01,,0.0
2024-12-31,3.54,$-1.55,0.0
2024-09-30,4.56,$-1.90,0.0
2024-06-30,4.35,$-1.56,0.0
2024-03-31,5.02,$-1.48,0.0
2023-12-31,6.27,$-1.42,0.0
2023-09-30,7.12,$-1.37,0.0
2023-06-30,10.19,$-1.33,0.0
2023-03-31,9.07,$-1.32,0.0
2022-12-31,7.17,$-1.30,0.0
2022-09-30,6.52,$-1.27,0.0
2022-06-30,4.82,$-1.14,0.0
2022-03-31,5.68,$-1.05,0.0
2021-12-31,5.02,$-1.03,0.0
2021-09-30,6.65,$-1.04,0.0
2021-06-30,6.11,$-1.13,0.0
2021-03-31,6.65,$-1.23,0.0
2020-12-31,5.29,$-1.32,0.0
2020-09-30,7.45,$-1.62,0.0
2020-06-30,7.36,$-1.62,0.0
2020-03-31,7.4,$-1.65,0.0
2019-12-31,5.66,$-1.77,0.0
2019-09-30,5.87,$-1.46,0.0
2019-06-30,3.19,$-1.44,0.0
2019-03-31,3.0,$-1.58,0.0
2018-12-31,3.76,$-1.58,0.0
2018-09-30,5.87,$-2.11,0.0
