Acurx Pharmaceuticals PE Ratio Historical Data,Acurx Pharmaceuticals PE Ratio Historical Data,Acurx Pharmaceuticals PE Ratio Historical Data,Acurx Pharmaceuticals PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.42,,0.0
2024-09-30,1.9,$-1.09,0.0
2024-06-30,2.25,$-1.16,0.0
2024-03-31,2.45,$-1.18,0.0
2023-12-31,3.83,$-1.15,0.0
2023-09-30,1.5,$-1.05,0.0
2023-06-30,2.65,$-1.13,0.0
2023-03-31,3.46,$-1.11,0.0
2022-12-31,3.98,$-1.12,0.0
2022-09-30,3.0,$-1.07,0.0
2022-06-30,3.79,$-1.21,0.0
2022-03-31,3.28,$-1.52,0.0
