Nokia PE Ratio Historical Data,Nokia PE Ratio Historical Data,Nokia PE Ratio Historical Data,Nokia PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,5.33,,21.32
2024-12-31,4.43,$0.25,17.72
2024-09-30,4.34,$0.08,54.25
2024-06-30,3.72,$0.07,53.17
2024-03-31,3.45,$0.16,21.53
2023-12-31,3.3,$0.12,27.51
2023-09-30,3.57,$0.70,5.1
2023-06-30,3.94,$0.76,5.19
2023-03-31,4.62,$0.79,5.84
2022-12-31,4.34,$0.78,5.57
2022-09-30,3.98,$0.35,11.37
2022-06-30,4.28,$0.34,12.58
2022-03-31,5.05,$0.32,15.77
2021-12-31,5.75,$0.34,16.91
2021-09-30,5.04,$-0.35,0.0
2021-06-30,4.92,$-0.38,0.0
2021-03-31,3.66,$-0.43,0.0
2020-12-31,3.61,$-0.51,0.0
2020-09-30,3.61,$0.15,24.09
2020-06-30,4.07,$0.12,33.89
2020-03-31,2.87,$0.07,40.93
2019-12-31,3.43,0,0.0
2019-09-30,4.68,$-0.07,0.0
2019-06-30,4.59,$-0.09,0.0
2019-03-31,5.18,$-0.12,0.0
2018-12-31,5.27,$-0.07,0.0
2018-09-30,5.05,$-0.19,0.0
2018-06-30,5.21,$-0.22,0.0
2018-03-31,4.77,$-0.25,0.0
2017-12-31,4.06,$-0.31,0.0
2017-09-30,5.21,$-0.11,0.0
2017-06-30,5.37,$-0.09,0.0
2017-03-31,4.59,$-0.14,0.0
2016-12-31,4.07,$-0.14,0.0
2016-09-30,4.9,$0.24,20.42
2016-06-30,4.82,$0.30,16.06
2016-03-31,4.75,$0.54,8.8
2015-12-31,5.64,$0.69,8.18
2015-09-30,5.45,$0.32,17.04
2015-06-30,5.51,$0.52,10.59
2015-03-31,5.95,$1.24,4.8
2014-12-31,6.17,$1.10,5.61
2014-09-30,6.64,$0.96,6.92
2014-06-30,5.93,$0.69,8.6
2014-03-31,5.41,$-0.21,0.0
2013-12-31,5.98,$-0.22,0.0
2013-09-30,4.8,$-0.14,0.0
2013-06-30,2.76,$-0.45,0.0
2013-03-31,2.42,$-0.84,0.0
2012-12-31,2.91,$-1.07,0.0
2012-09-30,1.9,$-1.51,0.0
2012-06-30,1.53,$-1.20,0.0
2012-03-31,3.74,$-0.87,0.0
2011-12-31,3.28,$-0.41,0.0
2011-09-30,3.85,$0.24,16.05
2011-06-30,4.37,$0.47,9.29
2011-03-31,5.44,$0.69,7.89
2010-12-31,6.6,$0.69,9.57
2010-09-30,6.42,$0.77,8.33
2010-06-30,5.21,$0.35,14.9
2010-03-31,9.45,$0.38,24.87
2009-12-31,7.81,$0.29,26.95
