KNOT Offshore Partners LP PE Ratio Historical Data,KNOT Offshore Partners LP PE Ratio Historical Data,KNOT Offshore Partners LP PE Ratio Historical Data,KNOT Offshore Partners LP PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,6.32,,0.0
2024-09-30,6.82,$-0.43,0.0
2024-06-30,8.7,$0.05,174.04
2024-03-31,5.09,$-0.76,0.0
2023-12-31,5.66,$-1.02,0.0
2023-09-30,6.68,$-0.68,0.0
2023-06-30,4.81,$-0.58,0.0
2023-03-31,5.19,$0.90,5.77
2022-12-31,9.28,$1.73,5.36
2022-09-30,13.02,$2.22,5.87
2022-06-30,14.81,$2.16,6.86
2022-03-31,14.84,$1.49,9.96
2021-12-31,11.33,$1.56,7.26
2021-09-30,15.5,$1.64,9.45
2021-06-30,16.04,$2.00,8.02
2021-03-31,13.92,$3.04,4.58
2020-12-31,11.41,$1.99,5.74
2020-09-30,9.4,$1.97,4.77
2020-06-30,9.65,$1.63,5.92
2020-03-31,6.91,$1.22,5.66
2019-12-31,13.06,$1.80,7.26
2019-09-30,12.25,$1.34,9.14
2019-06-30,11.93,$1.55,7.7
2019-03-31,11.56,$1.96,5.9
2018-12-31,10.62,$2.51,4.23
2018-09-30,12.53,$2.83,4.43
2018-06-30,12.5,$2.90,4.31
2018-03-31,10.89,$2.81,3.88
2017-12-31,11.13,$2.26,4.93
2017-09-30,12.33,$2.39,5.16
2017-06-30,11.77,$2.39,4.93
2017-03-31,11.7,$2.33,5.02
2016-12-31,11.57,$2.51,4.61
2016-09-30,9.98,$2.73,3.66
2016-06-30,8.63,$2.49,3.47
2016-03-31,7.42,$2.78,2.67
2015-12-31,5.88,$2.73,2.15
2015-09-30,6.25,$2.22,2.81
2015-06-30,7.82,$2.67,2.93
2015-03-31,9.82,$2.16,4.55
2014-12-31,8.72,$2.39,3.65
2014-09-30,9.59,$2.88,3.33
2014-06-30,10.7,$2.70,3.96
2014-03-31,10.64,$2.87,3.71
