Hackett PE Ratio Historical Data,Hackett PE Ratio Historical Data,Hackett PE Ratio Historical Data,Hackett PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,28.72,,27.09
2024-12-31,30.72,$1.06,28.98
2024-09-30,26.27,$1.22,21.53
2024-06-30,21.63,$1.25,17.3
2024-03-31,24.08,$1.26,19.11
2023-12-31,22.46,$1.24,18.11
2023-09-30,23.15,$1.27,18.23
2023-06-30,21.83,$1.25,17.47
2023-03-31,17.96,$1.25,14.37
2022-12-31,19.68,$1.28,15.37
2022-09-30,17.02,$1.47,11.58
2022-06-30,18.11,$1.40,12.94
2022-03-31,21.89,$1.40,15.63
2021-12-31,19.39,$1.26,15.39
2021-09-30,18.44,$0.79,23.34
2021-06-30,16.85,$0.63,26.74
2021-03-31,15.24,$0.18,84.66
2020-12-31,13.3,$0.16,83.11
2020-09-30,10.26,$0.20,51.31
2020-06-30,12.33,$0.32,38.52
2020-03-31,11.5,$0.67,17.16
2019-12-31,14.59,$0.72,20.27
2019-09-30,14.71,$0.65,22.64
2019-06-30,15.01,$0.60,25.01
2019-03-31,13.97,$0.74,18.88
2018-12-31,14.16,$0.75,18.88
2018-09-30,17.64,$1.04,16.96
2018-06-30,14.07,$1.05,13.4
2018-03-31,13.91,$0.84,16.56
2017-12-31,13.61,$0.85,16.01
2017-09-30,13.03,$0.75,17.38
2017-06-30,13.3,$0.75,17.73
2017-03-31,16.56,$0.77,21.51
2016-12-31,15.01,$0.66,22.74
2016-09-30,13.94,$0.59,23.62
2016-06-30,11.7,$0.52,22.5
2016-03-31,12.63,$0.47,26.87
2015-12-31,13.42,$0.44,30.51
2015-09-30,11.4,$0.48,23.75
2015-06-30,10.98,$0.50,21.96
2015-03-31,7.26,$0.50,14.51
2014-12-31,7.13,$0.33,21.62
2014-09-30,4.77,$0.21,22.72
2014-06-30,4.78,$0.17,28.11
2014-03-31,4.79,$0.14,34.19
2013-12-31,4.97,$0.27,18.41
2013-09-30,5.61,$0.44,12.76
2013-06-30,4.09,$0.44,9.28
2013-03-31,3.6,$0.47,7.65
2012-12-31,3.37,$0.50,6.74
2012-09-30,3.21,$0.52,6.18
2012-06-30,4.28,$0.54,7.92
2012-03-31,4.59,$0.52,8.82
2011-12-31,2.87,$0.51,5.63
2011-09-30,2.87,$0.35,8.19
2011-06-30,3.91,$0.35,11.17
2011-03-31,2.95,$0.35,8.43
2010-12-31,2.7,$0.34,7.93
2010-09-30,3.17,$0.05,63.45
2010-06-30,2.16,$-0.03,0.0
2010-03-31,2.14,$-0.13,0.0
2009-12-31,2.14,$-0.18,0.0
