Magna PE Ratio Historical Data,Magna PE Ratio Historical Data,Magna PE Ratio Historical Data,Magna PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,36.19,,9.68
2024-09-30,40.6,$3.74,10.86
2024-06-30,40.97,$3.43,11.95
2024-03-31,52.75,$3.52,14.99
2023-12-31,56.71,$4.22,13.44
2023-09-30,51.03,$3.61,14.14
2023-06-30,53.28,$3.24,16.44
2023-03-31,50.13,$1.52,32.98
2022-12-31,52.14,$2.01,25.94
2022-09-30,43.69,$3.22,13.57
2022-06-30,50.23,$2.26,22.23
2022-03-31,58.38,$4.20,13.9
2021-12-31,73.02,$5.01,14.58
2021-09-30,67.55,$5.92,11.41
2021-06-30,82.71,$7.23,11.44
2021-03-31,78.26,$3.66,21.38
2020-12-31,62.62,$2.49,25.15
2020-09-30,40.2,$1.47,27.34
2020-06-30,38.72,$-0.63,0.0
2020-03-31,27.48,$2.96,9.28
2019-12-31,46.8,$5.49,8.52
2019-09-30,45.21,$5.43,8.33
2019-06-30,41.81,$7.80,5.36
2019-03-31,40.62,$8.15,4.98
2018-12-31,37.65,$6.59,5.71
2018-09-30,43.14,$6.75,6.39
2018-06-30,47.45,$6.49,7.31
2018-03-31,45.77,$6.20,7.38
2017-12-31,45.74,$5.90,7.75
2017-09-30,42.87,$5.61,7.64
2017-06-30,36.99,$5.54,6.68
2017-03-31,34.24,$5.47,6.26
2016-12-31,34.21,$5.16,6.63
2016-09-30,33.66,$5.09,6.61
2016-06-30,27.31,$5.22,5.23
2016-03-31,33.25,$4.97,6.69
2015-12-31,31.2,$4.87,6.41
2015-09-30,36.75,$4.92,7.47
2015-06-30,42.74,$4.60,9.3
2015-03-31,40.73,$4.60,8.86
2014-12-31,41.08,$4.36,9.43
2014-09-30,35.74,$4.15,8.61
2014-06-30,40.44,$3.75,10.78
2014-03-31,36.01,$3.48,10.35
2013-12-31,30.57,$3.39,9.03
2013-09-30,30.63,$3.12,9.83
2013-06-30,26.31,$3.25,8.1
2013-03-31,21.58,$3.10,6.96
2012-12-31,18.29,$3.05,6.01
2012-09-30,15.72,$2.96,5.31
2012-06-30,14.25,$2.34,6.09
2012-03-31,17.12,$2.18,7.87
2011-12-31,11.88,$2.10,5.67
2011-09-30,11.67,$1.88,6.22
2011-06-30,19.0,$2.18,8.72
2011-03-31,16.76,$2.25,7.44
2010-12-31,18.1,$2.10,8.64
2010-09-30,14.26,$1.34,10.63
2010-06-30,11.35,$0.94,12.07
2010-03-31,10.56,$-0.17,0.0
2009-12-31,8.63,$-1.11,0.0
