Macy's PE Ratio Historical Data,Macy's PE Ratio Historical Data,Macy's PE Ratio Historical Data,Macy's PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,13.37,,6.49
2025-01-31,15.58,$2.06,7.56
2024-10-31,15.18,$0.59,25.73
2024-07-31,16.9,$0.64,26.41
2024-04-30,17.86,$0.03,595.36
2024-01-31,17.58,$0.37,47.52
2023-10-31,11.61,$2.46,4.72
2023-07-31,15.59,$2.70,5.77
2023-04-30,15.2,$3.77,4.03
2023-01-31,21.78,$4.19,5.2
2022-10-31,19.08,$4.80,3.98
2022-07-31,16.0,$5.17,3.09
2022-04-30,21.75,$5.26,4.14
2022-01-31,22.89,$4.60,4.98
2021-10-31,23.53,$2.66,8.85
2021-07-31,15.0,$1.61,9.32
2021-04-30,14.63,$-0.86,0.0
2021-01-31,13.27,$-12.71,0.0
2020-10-31,5.48,$-12.12,0.0
2020-07-31,5.35,$-11.82,0.0
2020-04-30,5.17,$-10.15,0.0
2020-01-31,13.39,$1.82,7.36
2019-10-31,12.43,$3.10,4.01
2019-07-31,18.23,$3.29,5.54
2019-04-30,18.56,$3.54,5.24
2019-01-31,20.41,$3.55,5.75
2018-10-31,26.29,$5.49,4.79
2018-07-31,30.14,$5.41,5.57
2018-04-30,23.34,$5.26,4.44
2018-01-31,19.24,$5.04,3.82
2017-10-31,13.7,$2.27,6.04
2017-07-31,17.06,$2.20,7.75
2017-04-30,20.63,$1.85,11.15
2017-01-31,20.61,$1.99,10.36
2016-10-31,25.22,$2.18,11.57
2016-07-31,24.5,$2.49,9.84
2016-04-30,26.75,$3.10,8.63
2016-01-31,27.09,$3.29,8.23
2015-10-31,33.84,$3.82,8.86
2015-07-31,45.56,$4.07,11.19
2015-04-30,42.41,$4.23,10.03
2015-01-31,41.71,$4.27,9.77
2014-10-31,37.56,$4.17,9.01
2014-07-31,37.35,$4.03,9.27
2014-04-30,36.92,$3.95,9.35
2014-01-31,34.05,$3.90,8.73
2013-10-31,29.37,$3.57,8.23
2013-07-31,30.62,$3.46,8.85
2013-04-30,28.11,$3.41,8.24
2013-01-31,24.78,$3.29,7.53
2012-10-31,23.76,$3.20,7.42
2012-07-31,22.25,$3.16,7.04
2012-04-30,25.32,$3.04,8.33
2012-01-31,20.69,$2.91,7.11
2011-10-31,18.69,$2.72,6.87
2011-07-31,17.6,$2.42,7.27
2011-04-30,14.53,$2.22,6.54
2011-01-31,14.04,$1.97,7.12
2010-10-31,14.32,$1.52,9.42
2010-07-31,11.26,$1.42,7.93
2010-04-30,13.97,$1.09,12.82
2010-01-31,9.57,$0.83,11.53
2009-10-31,10.52,$0.46,22.88
