CGI PE Ratio Historical Data,CGI PE Ratio Historical Data,CGI PE Ratio Historical Data,CGI PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,98.73,,17.85
2024-12-31,109.32,$5.53,19.77
2024-09-30,114.8,$5.38,21.34
2024-06-30,99.67,$5.29,18.84
2024-03-31,110.34,$5.19,21.26
2023-12-31,107.06,$5.13,20.87
2023-09-30,98.36,$5.09,19.32
2023-06-30,105.29,$4.94,21.31
2023-03-31,96.14,$4.82,19.95
2022-12-31,86.01,$4.73,18.18
2022-09-30,75.14,$4.73,15.89
2022-06-30,79.55,$4.67,17.03
2022-03-31,79.72,$4.60,17.33
2021-12-31,88.38,$4.45,19.86
2021-09-30,84.64,$4.28,19.78
2021-06-30,90.48,$3.90,23.2
2021-03-31,83.11,$3.51,23.68
2020-12-31,79.2,$3.33,23.78
2020-09-30,67.68,$3.13,21.62
2020-06-30,62.91,$3.31,19.01
2020-03-31,54.34,$3.43,15.84
2019-12-31,83.6,$3.41,24.51
2019-09-30,79.03,$3.44,22.97
2019-06-30,76.67,$3.33,23.02
2019-03-31,68.67,$3.27,21.0
2018-12-31,61.11,$3.15,19.4
2018-09-30,64.39,$3.08,20.91
2018-06-30,63.23,$2.85,22.19
2018-03-31,57.56,$2.76,20.86
2017-12-31,54.26,$2.70,20.09
2017-09-30,51.8,$2.60,19.92
2017-06-30,51.0,$2.72,18.75
2017-03-31,47.86,$2.72,17.6
2016-12-31,47.96,$2.70,17.76
2016-09-30,47.57,$2.59,18.36
2016-06-30,42.65,$2.47,17.27
2016-03-31,47.71,$2.43,19.64
2015-12-31,39.98,$2.42,16.52
2015-09-30,36.16,$2.45,14.76
2015-06-30,39.03,$2.48,15.74
2015-03-31,42.39,$2.48,17.09
2014-12-31,38.11,$2.49,15.3
2014-09-30,33.72,$2.44,13.82
2014-06-30,35.43,$2.27,15.61
2014-03-31,30.88,$2.17,14.23
2013-12-31,33.41,$1.87,17.87
2013-09-30,35.05,$1.40,25.04
2013-06-30,29.25,$0.40,73.13
2013-03-31,27.12,$0.18,150.68
2012-12-31,23.1,$0.22,104.99
2012-09-30,26.82,$0.55,48.77
2012-06-30,23.96,$1.39,17.24
2012-03-31,22.26,$1.52,14.64
2011-12-31,18.82,$1.56,12.07
2011-09-30,18.78,$1.62,11.6
2011-06-30,24.62,$1.66,14.83
2011-03-31,20.9,$1.49,14.03
2010-12-31,17.24,$1.33,12.96
2010-09-30,15.01,$1.24,12.1
2010-06-30,14.91,$1.19,12.53
2010-03-31,14.89,$1.13,13.18
2009-12-31,13.54,$1.06,12.78
