BRIACELL THERAP PE Ratio Historical Data,BRIACELL THERAP PE Ratio Historical Data,BRIACELL THERAP PE Ratio Historical Data,BRIACELL THERAP PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,4.46,,0.0
2025-01-31,5.02,$-5.03,0.0
2024-10-31,0.81,$-13.34,0.0
2024-07-31,0.75,$-17.54,0.0
2024-04-30,2.17,$-18.74,0.0
2024-01-31,4.12,$-25.19,0.0
2023-10-31,4.25,$-26.09,0.0
2023-07-31,6.69,$-19.64,0.0
2023-04-30,7.44,$-32.53,0.0
2023-01-31,7.48,$-32.53,0.0
2022-10-31,5.5,$-24.59,0.0
2022-07-31,6.5,$-25.94,0.0
2022-04-30,6.96,$-10.79,0.0
2022-01-31,6.32,$2.70,2.34
2021-10-31,7.95,$0.15,53.0
2021-07-31,5.08,$-3.90,0.0
2021-04-30,3.69,$-12.59,0.0
2021-01-31,3.81,$-33.88,0.0
