Nuburu PE Ratio Historical Data,Nuburu PE Ratio Historical Data,Nuburu PE Ratio Historical Data,Nuburu PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.24,,0.0
2024-09-30,0.51,$-456.72,0.0
2024-06-30,0.09,$-679.60,0.0
2024-03-31,0.14,$-960.00,0.0
2023-12-31,0.15,"$-1,024.00",0.0
2023-09-30,0.35,$-816.00,0.0
2023-06-30,0.68,$-592.00,0.0
2023-03-31,2.67,$-304.00,0.0
2022-12-31,8.33,0,0.0
2022-09-30,10.07,0,0.0
2022-06-30,9.95,0,0.0
2022-03-31,9.9,0,0.0
2021-12-31,9.84,0,0.0
2021-09-30,9.78,0,0.0
