Network-1 Technologies PE Ratio Historical Data,Network-1 Technologies PE Ratio Historical Data,Network-1 Technologies PE Ratio Historical Data,Network-1 Technologies PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.37,,0.0
2024-12-31,1.33,$-0.13,0.0
2024-09-30,1.4,$-0.06,0.0
2024-06-30,1.72,$-0.08,0.0
2024-03-31,2.0,$-0.07,0.0
2023-12-31,2.06,$-0.06,0.0
2023-09-30,2.21,$-0.15,0.0
2023-06-30,2.14,$-0.03,0.0
2023-03-31,1.99,$-0.07,0.0
2022-12-31,1.99,$-0.09,0.0
2022-09-30,2.04,$-0.06,0.0
2022-06-30,2.13,$0.12,17.74
2022-03-31,2.31,$0.15,15.43
2021-12-31,2.45,$0.58,4.23
2021-09-30,2.58,$0.56,4.61
2021-06-30,2.79,$0.36,7.75
2021-03-31,2.67,$0.37,7.21
2020-12-31,3.11,$-0.07,0.0
2020-09-30,2.23,$-0.04,0.0
2020-06-30,1.78,$-0.13,0.0
2020-03-31,1.8,$-0.12,0.0
2019-12-31,1.75,$-0.07,0.0
2019-09-30,1.88,$-0.06,0.0
2019-06-30,1.97,$-0.03,0.0
2019-03-31,2.05,$-0.04,0.0
2018-12-31,1.72,$0.31,5.56
2018-09-30,2.09,$0.32,6.52
2018-06-30,2.35,$0.33,7.14
2018-03-31,2.01,$0.41,4.91
2017-12-31,1.79,$0.16,11.18
2017-09-30,2.87,$0.17,16.88
2017-06-30,3.13,$0.58,5.39
2017-03-31,3.57,$0.85,4.2
2016-12-31,2.47,$0.92,2.68
2016-09-30,1.98,$1.02,1.94
2016-06-30,1.93,$0.61,3.16
2016-03-31,1.39,$0.27,5.13
2015-12-31,1.52,$0.17,8.92
2015-09-30,1.47,$0.03,48.87
