Mid Penn Bancorp PE Ratio Historical Data,Mid Penn Bancorp PE Ratio Historical Data,Mid Penn Bancorp PE Ratio Historical Data,Mid Penn Bancorp PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,25.95,,11.9
2024-12-31,28.84,$2.18,13.23
2024-09-30,29.65,$2.91,10.19
2024-06-30,21.65,$2.73,7.93
2024-03-31,19.55,$2.31,8.46
2023-12-31,23.5,$2.28,10.31
2023-09-30,19.28,$2.54,7.59
2023-06-30,20.97,$2.95,7.11
2023-03-31,24.07,$3.43,7.02
2022-12-31,27.98,$3.44,8.13
2022-09-30,26.66,$2.50,10.67
2022-06-30,24.86,$2.39,10.4
2022-03-31,24.52,$2.55,9.62
2021-12-31,28.83,$2.94,9.81
2021-09-30,24.86,$3.95,6.29
2021-06-30,24.58,$3.87,6.35
2021-03-31,23.83,$3.75,6.36
2020-12-31,19.27,$3.10,6.22
2020-09-30,15.11,$2.56,5.9
2020-06-30,15.95,$2.35,6.79
2020-03-31,17.36,$2.06,8.43
2019-12-31,24.46,$2.09,11.71
2019-09-30,21.62,$2.11,10.25
2019-06-30,20.9,$1.82,11.48
2019-03-31,20.38,$1.75,11.64
2018-12-31,18.95,$1.44,13.16
2018-09-30,23.86,$1.02,23.39
2018-06-30,28.43,$1.27,22.38
2018-03-31,25.92,$1.37,18.92
2017-12-31,26.85,$1.67,16.08
2017-09-30,23.56,$2.04,11.55
2017-06-30,21.53,$1.96,10.99
2017-03-31,21.63,$1.89,11.45
2016-12-31,18.82,$1.85,10.17
2016-09-30,15.23,$1.71,8.91
2016-06-30,12.35,$1.69,7.31
2016-03-31,11.43,$1.67,6.85
2015-12-31,12.22,$1.47,8.31
2015-09-30,12.24,$1.35,9.07
2015-06-30,11.58,$1.35,8.58
2015-03-31,11.62,$1.35,8.61
2014-12-31,11.48,$1.53,7.51
2014-09-30,11.23,$1.67,6.72
2014-06-30,11.46,$1.64,6.99
2014-03-31,10.67,$1.55,6.88
2013-12-31,10.29,$1.32,7.79
2013-09-30,8.12,$1.25,6.5
2013-06-30,7.87,$1.18,6.67
2013-03-31,7.9,$1.16,6.81
2012-12-31,7.87,$1.27,6.19
2012-09-30,7.3,$1.32,5.53
2012-06-30,7.59,$1.28,5.93
2012-03-31,6.96,$1.20,5.8
2011-12-31,5.17,$1.16,4.45
2011-09-30,5.45,$0.98,5.56
2011-06-30,5.55,$0.80,6.94
2011-03-31,5.98,$0.72,8.31
2010-12-31,5.02,$0.64,7.84
2010-09-30,4.62,$-0.59,0.0
2010-06-30,6.12,$-0.64,0.0
2010-03-31,6.69,$-0.64,0.0
2009-12-31,6.89,$-0.75,0.0
