Invesco PE Ratio Historical Data,Invesco PE Ratio Historical Data,Invesco PE Ratio Historical Data,Invesco PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,15.52,,13.15
2024-12-31,17.48,$1.18,14.81
2024-09-30,17.36,$-0.92,0.0
2024-06-30,14.61,$-0.75,0.0
2024-03-31,16.0,$-0.75,0.0
2023-12-31,16.98,$-0.74,0.0
2023-09-30,13.61,$1.31,10.39
2023-06-30,15.57,$1.41,11.04
2023-03-31,15.0,$1.38,10.87
2022-12-31,16.29,$1.49,10.94
2022-09-30,12.26,$2.00,6.13
2022-06-30,14.29,$2.32,6.16
2022-03-31,20.22,$2.85,7.09
2021-12-31,20.04,$3.00,6.68
2021-09-30,20.85,$2.54,8.21
2021-06-30,22.96,$2.24,10.25
2021-03-31,21.53,$1.54,13.98
2020-12-31,14.78,$1.14,12.97
2020-09-30,9.57,$1.07,8.95
2020-06-30,8.9,$1.02,8.72
2020-03-31,7.37,$1.02,7.22
2019-12-31,14.35,$1.28,11.21
2019-09-30,13.29,$1.17,11.36
2019-06-30,16.05,$1.46,10.99
2019-03-31,14.92,$1.96,7.61
2018-12-31,12.73,$2.14,5.95
2018-09-30,17.15,$2.85,6.02
2018-06-30,19.67,$2.85,6.9
2018-03-31,23.45,$2.84,8.26
2017-12-31,26.54,$2.74,9.69
2017-09-30,25.24,$2.30,10.97
2017-06-30,25.13,$2.23,11.27
2017-03-31,21.68,$2.19,9.9
2016-12-31,21.29,$2.05,10.39
2016-09-30,21.75,$1.98,10.98
2016-06-30,17.6,$1.98,8.89
2016-03-31,21.0,$2.04,10.29
2015-12-31,22.62,$2.26,10.01
2015-09-30,20.92,$2.40,8.72
2015-06-30,24.93,$2.41,10.35
2015-03-31,26.22,$2.44,10.75
2014-12-31,25.94,$2.27,11.43
2014-09-30,25.76,$2.29,11.25
2014-06-30,24.47,$2.21,11.07
2014-03-31,23.82,$2.03,11.73
2013-12-31,23.28,$2.09,11.14
2013-09-30,20.27,$1.80,11.26
2013-06-30,20.06,$1.67,12.01
2013-03-31,18.15,$1.56,11.63
2012-12-31,16.25,$1.50,10.83
2012-09-30,15.45,$1.59,9.72
2012-06-30,13.87,$1.57,8.84
2012-03-31,16.24,$1.62,10.03
2011-12-31,12.17,$1.57,7.75
2011-09-30,9.34,$1.50,6.23
2011-06-30,13.99,$1.46,9.58
2011-03-31,15.2,$1.16,13.11
2010-12-31,14.25,$0.99,14.4
2010-09-30,12.51,$0.87,14.38
2010-06-30,9.86,$0.79,12.48
2010-03-31,12.76,$0.88,14.5
2009-12-31,13.61,$0.75,18.15
