Generation Income Properties PE Ratio Historical Data,Generation Income Properties PE Ratio Historical Data,Generation Income Properties PE Ratio Historical Data,Generation Income Properties PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.59,,0.0
2024-09-30,2.19,$-2.50,0.0
2024-06-30,4.09,$-2.65,0.0
2024-03-31,3.83,$-2.57,0.0
2023-12-31,3.95,$-2.42,0.0
2023-09-30,3.86,$-1.95,0.0
2023-06-30,3.97,$-1.53,0.0
2023-03-31,4.5,$-1.65,0.0
2022-12-31,4.84,$-1.39,0.0
2022-09-30,6.01,$-2.34,0.0
