AES PE Ratio Historical Data,AES PE Ratio Historical Data,AES PE Ratio Historical Data,AES PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,13.16,,5.55
2024-12-31,12.87,$2.37,5.43
2024-09-30,19.83,$1.44,13.77
2024-06-30,17.2,$1.05,16.38
2024-03-31,17.39,$0.72,24.15
2023-12-31,18.47,$0.33,55.98
2023-09-30,14.43,$-0.88,0.0
2023-06-30,19.53,$-0.61,0.0
2023-03-31,22.52,$-0.82,0.0
2022-12-31,26.74,$-0.87,0.0
2022-09-30,20.89,$-0.47,0.0
2022-06-30,19.28,$-0.58,0.0
2022-03-31,23.43,$-0.27,0.0
2021-12-31,21.98,$-0.65,0.0
2021-09-30,20.52,$0.77,26.66
2021-06-30,23.29,$-0.21,0.0
2021-03-31,23.82,$-0.37,0.0
2020-12-31,20.75,$0.07,296.48
2020-09-30,15.88,$-0.52,0.0
2020-06-30,12.59,$0.30,41.95
2020-03-31,11.69,$0.44,26.56
2019-12-31,16.98,$0.45,37.73
2019-09-30,13.83,$0.76,18.2
2019-06-30,14.07,$0.59,23.85
2019-03-31,15.06,$1.01,14.91
2018-12-31,11.94,$1.81,6.6
2018-09-30,11.46,$-0.41,0.0
2018-06-30,10.88,$-0.33,0.0
2018-03-31,9.12,$-0.69,0.0
2017-12-31,8.59,$-1.76,0.0
2017-09-30,8.65,$-1.17,0.0
2017-06-30,8.63,$-1.14,0.0
2017-03-31,8.59,$-1.95,0.0
2016-12-31,8.83,$-1.72,0.0
2016-09-30,9.68,$-0.41,0.0
2016-06-30,9.31,$-0.41,0.0
2016-03-31,8.72,$0.42,20.76
2015-12-31,6.99,$0.43,16.26
2015-09-30,7.09,$0.85,8.34
2015-06-30,9.52,$1.26,7.56
2015-03-31,9.16,$1.34,6.84
2014-12-31,9.74,$1.06,9.19
2014-09-30,9.99,$0.49,20.39
2014-06-30,10.92,$-0.09,0.0
2014-03-31,9.99,$-0.05,0.0
2013-12-31,10.12,$0.14,72.27
2013-09-30,9.24,$0.65,14.22
2013-06-30,8.31,$-1.54,0.0
2013-03-31,8.69,$-1.58,0.0
2012-12-31,7.37,$-1.25,0.0
2012-09-30,7.52,$-1.75,0.0
2012-06-30,8.8,$0.18,48.89
2012-03-31,8.96,$0.22,40.75
2011-12-31,8.12,$0.06,135.35
2011-09-30,6.69,$-0.22,0.0
2011-06-30,8.74,$0.09,97.09
2011-03-31,8.92,$0.05,178.33
2010-12-31,8.35,$0.04,208.85
2010-09-30,7.78,$0.52,14.97
2010-06-30,6.34,$0.66,9.6
2010-03-31,7.54,$0.93,8.11
2009-12-31,9.13,$0.99,9.22
