Actinium Pharmaceuticals PE Ratio Historical Data,Actinium Pharmaceuticals PE Ratio Historical Data,Actinium Pharmaceuticals PE Ratio Historical Data,Actinium Pharmaceuticals PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.41,,0.0
2024-09-30,1.88,$-1.39,0.0
2024-06-30,7.4,$-1.51,0.0
2024-03-31,7.83,$-1.71,0.0
2023-12-31,5.08,$-1.83,0.0
2023-09-30,5.92,$-1.92,0.0
2023-06-30,7.42,$-1.81,0.0
2023-03-31,9.45,$-1.56,0.0
2022-12-31,10.65,$-1.36,0.0
2022-09-30,7.38,$-0.94,0.0
2022-06-30,4.81,$-0.86,0.0
2022-03-31,5.11,$-0.78,0.0
2021-12-31,6.01,$-0.84,0.0
2021-09-30,8.86,$-0.84,0.0
2021-06-30,7.91,$-0.90,0.0
2021-03-31,7.62,$-0.65,0.0
2020-12-31,7.8,$-0.36,0.0
2020-09-30,9.69,$-0.36,0.0
2020-06-30,10.55,$-1.20,0.0
2020-03-31,5.82,$-2.10,0.0
2019-12-31,6.53,$-3.60,0.0
2019-09-30,6.9,$-5.41,0.0
2019-06-30,7.38,$-4.20,0.0
2019-03-31,14.4,$-4.50,0.0
2018-12-31,11.61,$-5.11,0.0
2018-09-30,22.25,$-4.80,0.0
2018-06-30,19.2,$-7.51,0.0
2018-03-31,10.95,$-9.91,0.0
2017-12-31,19.91,$-12.01,0.0
2017-09-30,17.25,$-14.11,0.0
2017-06-30,36.6,$-15.62,0.0
2017-03-31,45.3,$-16.52,0.0
2016-12-31,26.25,$-15.32,0.0
2016-09-30,40.5,$-16.52,0.0
2016-06-30,53.1,$-15.32,0.0
2016-03-31,59.7,$-16.82,0.0
2015-12-31,96.9,$-16.52,0.0
2015-09-30,53.1,$-16.82,0.0
2015-06-30,79.5,$-13.81,0.0
2015-03-31,74.1,$-7.81,0.0
2014-12-31,176.7,$-5.11,0.0
2014-09-30,201.0,0,0.0
2014-06-30,216.6,0,0.0
2014-03-31,373.5,0,0.0
2013-12-31,176.7,0,0.0
2013-09-30,190.5,0,0.0
