Arq PE Ratio Historical Data,Arq PE Ratio Historical Data,Arq PE Ratio Historical Data,Arq PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,4.83,,0.0
2024-12-31,7.57,$-0.14,0.0
2024-09-30,5.87,$-0.01,0.0
2024-06-30,6.07,$-0.12,0.0
2024-03-31,6.48,$-0.27,0.0
2023-12-31,2.98,$-0.50,0.0
2023-09-30,1.78,$-0.77,0.0
2023-06-30,1.86,$-0.83,0.0
2023-03-31,1.98,$-0.64,0.0
2022-12-31,2.43,$-0.49,0.0
2022-09-30,2.73,$-0.01,0.0
2022-06-30,4.69,$1.43,3.28
2022-03-31,6.22,$2.35,2.65
2021-12-31,6.62,$3.27,2.02
2021-09-30,6.39,$2.98,2.14
2021-06-30,7.41,$1.94,3.82
2021-03-31,5.5,$-0.28,0.0
2020-12-31,5.5,$-1.14,0.0
2020-09-30,4.06,$-0.66,0.0
2020-06-30,4.85,$-0.72,0.0
2020-03-31,6.57,$1.04,6.32
2019-12-31,10.29,$1.93,5.33
2019-09-30,14.19,$1.79,7.93
2019-06-30,11.83,$1.86,6.36
2019-03-31,10.62,$2.17,4.89
2018-12-31,9.49,$1.76,5.39
2018-09-30,10.49,$1.73,6.06
2018-06-30,9.74,$1.73,5.63
2018-03-31,9.58,$1.27,7.54
2017-12-31,7.88,$1.29,6.11
2017-09-30,8.75,$4.35,2.01
2017-06-30,7.12,$4.50,1.58
2017-03-31,7.22,$4.56,1.58
2016-12-31,6.99,$4.37,1.6
2016-09-30,5.69,$0.85,6.69
2016-06-30,7.11,$0.02,355.6
2016-03-31,7.11,$-0.90,0.0
2015-12-31,7.11,$-1.38,0.0
2015-09-30,7.11,$-1.25,0.0
2015-06-30,7.11,$-0.85,0.0
2015-03-31,7.11,$-0.28,0.0
2014-12-31,17.24,0,0.0
2014-09-30,16.09,0,0.0
2014-06-30,17.35,$0.08,216.86
2014-03-31,18.57,$-0.08,0.0
2013-12-31,20.52,$-0.19,0.0
2013-09-30,16.16,$-0.46,0.0
2013-06-30,15.93,$-0.74,0.0
2013-03-31,10.05,$-0.71,0.0
2012-12-31,6.39,$-0.67,0.0
2012-09-30,8.93,$0.37,24.14
2012-06-30,9.6,$0.32,30.47
2012-03-31,9.2,$0.30,31.17
2011-12-31,8.56,$-1.45,0.0
2011-09-30,5.78,$-2.43,0.0
2011-06-30,6.05,$-2.57,0.0
2011-03-31,8.27,$-2.67,0.0
2010-12-31,4.22,$-1.05,0.0
2010-09-30,1.81,$-0.93,0.0
2010-06-30,2.01,$-0.92,0.0
2010-03-31,3.03,$-0.78,0.0
2009-12-31,2.31,$-0.63,0.0
