Stoneridge PE Ratio Historical Data,Stoneridge PE Ratio Historical Data,Stoneridge PE Ratio Historical Data,Stoneridge PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,5.31,,0.0
2024-12-31,6.27,$-0.60,0.0
2024-09-30,11.19,$-0.27,0.0
2024-06-30,15.96,$0.07,228.0
2024-03-31,18.44,$-0.14,0.0
2023-12-31,19.57,$-0.19,0.0
2023-09-30,20.07,$-0.29,0.0
2023-06-30,18.85,$-0.34,0.0
2023-03-31,18.7,$-0.50,0.0
2022-12-31,21.56,$-0.51,0.0
2022-09-30,16.95,$-0.75,0.0
2022-06-30,17.15,$-1.16,0.0
2022-03-31,20.76,$-0.17,0.0
2021-12-31,19.74,$0.11,179.45
2021-09-30,20.39,$0.47,43.38
2021-06-30,29.5,$1.10,26.82
2021-03-31,31.81,$-0.43,0.0
2020-12-31,30.23,$-0.30,0.0
2020-09-30,18.37,$-0.28,0.0
2020-06-30,20.66,$-0.29,0.0
2020-03-31,16.75,$1.93,8.68
2019-12-31,29.32,$2.13,13.77
2019-09-30,30.97,$2.40,12.9
2019-06-30,31.55,$2.62,12.04
2019-03-31,28.86,$1.73,16.68
2018-12-31,24.65,$1.86,13.25
2018-09-30,29.72,$2.09,14.22
2018-06-30,35.14,$1.91,18.4
2018-03-31,27.6,$1.71,16.14
2017-12-31,22.86,$1.57,14.56
2017-09-30,19.81,$2.62,7.56
2017-06-30,15.41,$2.70,5.71
2017-03-31,18.14,$2.79,6.5
2016-12-31,17.69,$2.73,6.48
2016-09-30,18.4,$1.25,14.72
2016-06-30,14.94,$1.15,12.99
2016-03-31,14.56,$0.99,14.71
2015-12-31,14.8,$0.81,18.27
2015-09-30,12.34,$-0.40,0.0
2015-06-30,11.71,$-0.66,0.0
2015-03-31,11.29,$-1.72,0.0
2014-12-31,12.86,$-1.75,0.0
2014-09-30,11.27,$-0.75,0.0
2014-06-30,10.72,$-0.56,0.0
2014-03-31,11.23,$0.46,24.41
2013-12-31,12.75,$0.56,22.77
2013-09-30,10.81,$0.65,16.63
2013-06-30,11.64,$0.48,24.25
2013-03-31,7.63,$0.13,58.69
2012-12-31,5.12,$0.20,25.6
2012-09-30,4.97,$1.66,2.99
2012-06-30,6.81,$1.82,3.74
2012-03-31,9.89,$2.10,4.71
2011-12-31,8.43,$2.00,4.22
2011-09-30,5.22,$0.62,8.42
2011-06-30,14.74,$0.47,31.36
2011-03-31,14.62,$0.50,29.24
2010-12-31,15.79,$0.44,35.89
2010-09-30,10.51,$0.25,42.04
2010-06-30,7.59,$0.18,42.17
2010-03-31,9.89,$-0.83,0.0
2009-12-31,9.01,$-1.38,0.0
