Dominion Energy PE Ratio Historical Data,Dominion Energy PE Ratio Historical Data,Dominion Energy PE Ratio Historical Data,Dominion Energy PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,54.98,,20.36
2024-12-31,53.86,$2.70,19.95
2024-09-30,57.14,$2.85,20.05
2024-06-30,47.88,$1.90,25.2
2024-03-31,48.06,$1.94,24.78
2023-12-31,45.29,$2.33,19.44
2023-09-30,42.42,$1.96,21.64
2023-06-30,48.52,$2.70,17.97
2023-03-31,51.67,$1.43,36.13
2022-12-31,55.99,$1.09,51.37
2022-09-30,62.42,$2.79,22.37
2022-06-30,71.5,$2.67,26.78
2022-03-31,75.52,$3.58,21.09
2021-12-31,69.25,$3.98,17.4
2021-09-30,63.81,$3.17,20.13
2021-06-30,63.78,$2.79,22.86
2021-03-31,65.31,$1.05,62.2
2020-12-31,64.07,$-0.52,0.0
2020-09-30,66.71,$-0.02,0.0
2020-06-30,67.8,$0.74,91.62
2020-03-31,59.63,$2.20,27.11
2019-12-31,67.63,$1.68,40.26
2019-09-30,65.44,$1.33,49.2
2019-06-30,61.7,$1.46,42.26
2019-03-31,60.45,$2.10,28.79
2018-12-31,55.66,$3.73,14.92
2018-09-30,54.14,$5.01,10.81
2018-06-30,51.92,$4.74,10.95
2018-03-31,50.69,$4.67,10.85
2017-12-31,60.24,$4.91,12.27
2017-09-30,56.65,$3.39,16.71
2017-06-30,55.9,$3.46,16.16
2017-03-31,56.06,$3.57,15.7
2016-12-31,54.81,$3.44,15.93
2016-09-30,52.64,$3.31,15.9
2016-06-30,54.72,$3.21,17.05
2016-03-31,52.24,$3.18,16.43
2015-12-31,46.56,$3.21,14.51
2015-09-30,47.99,$3.03,15.84
2015-06-30,45.18,$2.93,15.42
2015-03-31,47.45,$2.50,18.98
2014-12-31,51.03,$2.24,22.78
2014-09-30,45.48,$2.56,17.76
2014-06-30,46.67,$2.64,17.68
2014-03-31,45.92,$2.72,16.88
2013-12-31,41.49,$2.93,14.16
2013-09-30,39.72,$1.53,25.96
2013-06-30,35.78,$0.91,39.31
2013-03-31,36.26,$1.01,35.9
2012-12-31,31.96,$1.01,31.64
2012-09-30,32.32,$2.02,16.0
2012-06-30,32.65,$2.35,13.89
2012-03-31,30.65,$2.48,12.36
2011-12-31,31.44,$2.44,12.88
2011-09-30,29.78,$2.52,11.82
2011-06-30,28.04,$2.81,9.98
2011-03-31,25.7,$5.21,4.93
2010-12-31,24.29,$4.68,5.19
2010-09-30,24.56,$4.53,5.42
2010-06-30,21.56,$4.55,4.74
2010-03-31,22.61,$2.33,9.71
2009-12-31,21.16,$2.46,8.6
