Pixelworks PE Ratio Historical Data,Pixelworks PE Ratio Historical Data,Pixelworks PE Ratio Historical Data,Pixelworks PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.74,,0.0
2024-12-31,0.73,$-0.40,0.0
2024-09-30,0.71,$-0.47,0.0
2024-06-30,0.98,$-0.45,0.0
2024-03-31,2.58,$-0.39,0.0
2023-12-31,1.31,$-0.47,0.0
2023-09-30,1.13,$-0.44,0.0
2023-06-30,1.73,$-0.40,0.0
2023-03-31,1.48,$-0.38,0.0
2022-12-31,1.77,$-0.30,0.0
2022-09-30,1.61,$-0.32,0.0
2022-06-30,1.91,$-0.32,0.0
2022-03-31,2.97,$-0.31,0.0
2021-12-31,4.4,$-0.38,0.0
2021-09-30,4.78,$-0.47,0.0
2021-06-30,3.41,$-0.59,0.0
2021-03-31,3.31,$-0.68,0.0
2020-12-31,2.82,$-0.66,0.0
2020-09-30,2.05,$-0.63,0.0
2020-06-30,3.23,$-0.49,0.0
2020-03-31,2.85,$-0.38,0.0
2019-12-31,3.92,$-0.24,0.0
2019-09-30,3.7,$-0.16,0.0
2019-06-30,2.95,$-0.09,0.0
2019-03-31,3.92,$-0.10,0.0
2018-12-31,2.9,$-0.12,0.0
2018-09-30,4.51,$-0.18,0.0
2018-06-30,3.61,$-0.33,0.0
2018-03-31,3.87,$-0.22,0.0
2017-12-31,6.33,$-0.11,0.0
2017-09-30,4.71,$-0.00,0.0
2017-06-30,4.59,$0.10,45.9
2017-03-31,4.66,$-0.00,0.0
2016-12-31,2.8,$-0.40,0.0
2016-09-30,2.79,$-0.52,0.0
2016-06-30,1.84,$-0.53,0.0
2016-03-31,2.19,$-0.59,0.0
2015-12-31,2.38,$-0.42,0.0
2015-09-30,3.61,$-0.43,0.0
2015-06-30,5.88,$-0.48,0.0
2015-03-31,5.02,$-0.47,0.0
2014-12-31,4.56,$-0.44,0.0
2014-09-30,6.46,$-0.32,0.0
2014-06-30,7.57,$-0.15,0.0
2014-03-31,5.54,$-0.30,0.0
2013-12-31,4.82,$-0.48,0.0
2013-09-30,4.02,$-0.67,0.0
2013-06-30,3.42,$-0.76,0.0
2013-03-31,2.22,$-0.56,0.0
2012-12-31,2.24,$-0.31,0.0
2012-09-30,2.95,$-0.23,0.0
2012-06-30,2.42,$-0.27,0.0
2012-03-31,2.28,$-0.34,0.0
2011-12-31,2.42,$-0.41,0.0
2011-09-30,2.1,$-0.54,0.0
2011-06-30,2.45,$-0.48,0.0
2011-03-31,3.6,$-0.43,0.0
2010-12-31,3.48,0,0.0
2010-09-30,3.4,$0.18,18.89
2010-06-30,2.98,$0.11,27.09
2010-03-31,5.75,$0.35,16.43
2009-12-31,3.04,$0.47,6.47
