Home Depot PE Ratio Historical Data,Home Depot PE Ratio Historical Data,Home Depot PE Ratio Historical Data,Home Depot PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,355.52,,23.83
2025-01-31,411.98,$14.92,27.61
2024-10-31,391.69,$14.72,26.61
2024-07-31,364.0,$14.86,24.5
2024-04-30,330.44,$14.91,22.16
2024-01-31,346.9,$15.10,22.97
2023-10-31,277.94,$15.58,17.84
2023-07-31,323.87,$16.01,20.23
2023-04-30,289.43,$16.41,17.64
2023-01-31,309.97,$16.68,18.58
2022-10-31,281.51,$16.59,16.97
2022-07-31,284.21,$16.27,17.47
2022-04-30,281.89,$15.75,17.9
2022-01-31,342.32,$15.52,22.06
2021-10-31,345.34,$14.96,23.08
2021-07-31,303.34,$14.22,21.33
2021-04-30,297.59,$13.71,21.71
2021-01-31,247.47,$11.93,20.74
2020-10-31,242.37,$11.56,20.97
2020-07-31,240.01,$10.91,22.0
2020-04-30,197.55,$10.06,19.64
2020-01-31,203.55,$10.25,19.86
2019-10-31,208.01,$10.06,20.68
2019-07-31,188.34,$10.04,18.76
2019-04-30,178.3,$9.92,17.97
2019-01-31,159.45,$9.73,16.39
2018-10-31,151.92,$9.16,16.59
2018-07-31,169.75,$8.49,19.99
2018-04-30,157.95,$7.69,20.54
2018-01-31,170.72,$7.28,23.45
2017-10-31,140.17,$7.20,19.47
2017-07-31,125.75,$6.96,18.07
2017-04-30,130.46,$6.68,19.53
2017-01-31,114.28,$6.45,17.72
2016-10-31,100.81,$6.18,16.31
2016-07-31,113.64,$5.93,19.16
2016-04-30,109.49,$5.69,19.24
2016-01-31,102.28,$5.46,18.73
2015-10-31,100.12,$5.34,18.75
2015-07-31,94.28,$5.14,18.34
2015-04-30,85.73,$4.93,17.39
2015-01-31,83.24,$4.72,17.64
2014-10-31,77.37,$4.40,17.58
2014-07-31,63.81,$4.20,15.19
2014-04-30,62.39,$3.92,15.92
2014-01-31,59.96,$3.75,15.99
2013-10-31,60.47,$3.70,16.34
2013-07-31,61.03,$3.38,18.06
2013-04-30,56.36,$3.15,17.89
2013-01-31,51.14,$3.00,17.05
2012-10-31,46.69,$2.82,16.56
2012-07-31,39.49,$2.79,14.15
2012-04-30,38.97,$2.64,14.76
2012-01-31,33.19,$2.46,13.49
2011-10-31,26.57,$2.32,11.45
2011-07-31,25.74,$2.23,11.54
2011-04-30,27.18,$2.09,13.0
2011-01-31,26.72,$2.02,13.23
2010-10-31,22.28,$1.86,11.98
2010-07-31,20.38,$1.76,11.58
2010-04-30,25.01,$1.70,14.71
2010-01-31,19.74,$1.57,12.57
2009-10-31,17.54,$1.34,13.09
