Elicio Therapeutics PE Ratio Historical Data,Elicio Therapeutics PE Ratio Historical Data,Elicio Therapeutics PE Ratio Historical Data,Elicio Therapeutics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,8.12,,0.0
2024-09-30,5.03,$-6.95,0.0
2024-06-30,4.11,$-6.83,0.0
2024-03-31,7.6,$-8.80,0.0
2023-12-31,8.34,$-9.15,0.0
2023-09-30,8.45,$-7.48,0.0
2023-06-30,9.5,$-9.21,0.0
2023-03-31,0.58,$-9.60,0.0
2022-12-31,0.81,$-12.90,0.0
2022-09-30,0.92,$-5.00,0.0
2022-06-30,1.14,$-7.30,0.0
2022-03-31,2.12,$-10.10,0.0
2021-12-31,2.9,$-20.90,0.0
