CSP PE Ratio Historical Data,CSP PE Ratio Historical Data,CSP PE Ratio Historical Data,CSP PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,17.32,,1732.0
2024-12-31,16.07,$0.01,1607.0
2024-09-30,12.99,$-0.05,0.0
2024-06-30,14.87,$0.28,53.1
2024-03-31,18.38,$0.56,32.82
2023-12-31,9.69,$0.44,22.28
2023-09-30,8.69,$0.55,15.79
2023-06-30,5.9,$0.56,10.62
2023-03-31,6.7,$0.37,18.12
2022-12-31,4.64,$0.35,13.26
2022-09-30,3.53,$0.20,17.63
2022-06-30,4.45,$0.14,31.76
2022-03-31,3.85,$0.02,256.67
2021-12-31,4.29,$-0.10,0.0
2021-09-30,4.36,$0.08,58.17
2021-06-30,5.16,$-0.02,0.0
2021-03-31,4.25,$0.01,0.0
2020-12-31,3.78,$0.02,188.84
2020-09-30,4.22,$-0.18,0.0
2020-06-30,4.04,$-0.23,0.0
2020-03-31,3.42,$-0.14,0.0
2019-12-31,6.3,$-0.13,0.0
2019-09-30,6.41,$-0.05,0.0
2019-06-30,7.2,$1.97,3.67
2019-03-31,5.21,$1.91,2.74
2018-12-31,4.45,$1.90,2.34
2018-09-30,5.95,$1.74,3.43
2018-06-30,4.42,$-0.06,0.0
2018-03-31,4.77,$0.03,190.69
2017-12-31,6.95,$0.16,43.44
2017-09-30,4.82,$0.32,15.3
2017-06-30,4.65,$0.21,22.7
2017-03-31,4.45,$0.28,15.9
2016-12-31,4.42,$0.29,15.23
2016-09-30,4.27,$0.33,12.94
2016-06-30,3.35,$0.35,9.57
2016-03-31,2.43,$0.23,10.79
2015-12-31,2.77,$0.07,42.57
2015-09-30,2.14,$-0.03,0.0
2015-06-30,2.67,$-0.13,0.0
2015-03-31,2.57,$-0.04,0.0
2014-12-31,2.73,$0.08,34.1
2014-09-30,2.94,$0.19,15.46
2014-06-30,2.53,$0.20,12.65
2014-03-31,2.75,$0.00,0.0
2013-12-31,2.85,$0.09,33.55
2013-09-30,2.46,$0.05,49.25
2013-06-30,3.05,$0.77,3.99
2013-03-31,1.98,$0.95,2.1
2012-12-31,2.16,$0.91,2.39
2012-09-30,1.47,$0.96,1.54
2012-06-30,1.28,$0.23,5.67
2012-03-31,1.28,$0.09,15.08
2011-12-31,1.0,$0.06,16.68
2011-09-30,1.09,$0.05,21.75
2011-06-30,1.36,$0.07,19.36
2011-03-31,1.42,$0.19,7.69
2010-12-31,1.15,$0.29,4.03
2010-09-30,1.34,$0.13,10.69
2010-06-30,1.33,$-0.39,0.0
2010-03-31,1.12,$-0.58,0.0
2009-12-31,1.14,$-0.68,0.0
