AYRO PE Ratio Historical Data,AYRO PE Ratio Historical Data,AYRO PE Ratio Historical Data,AYRO PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.53,,0.0
2024-09-30,0.84,$-4.30,0.0
2024-06-30,0.78,$-7.04,0.0
2024-03-31,1.67,$-8.46,0.0
2023-12-31,1.76,$-8.20,0.0
2023-09-30,2.34,$-6.91,0.0
2023-06-30,5.48,$-5.12,0.0
2023-03-31,4.36,$-5.12,0.0
2022-12-31,3.06,$-4.88,0.0
2022-09-30,4.72,$-5.12,0.0
2022-06-30,6.7,$-6.56,0.0
2022-03-31,10.24,$-7.04,0.0
2021-12-31,12.88,$-7.52,0.0
2021-09-30,27.28,$-7.36,0.0
2021-06-30,39.04,$-5.76,0.0
2021-03-31,51.84,$-5.44,0.0
2020-12-31,48.64,$-14.40,0.0
2020-09-30,23.68,$-12.88,0.0
2020-06-30,22.4,$-19.44,0.0
2020-03-31,18.02,$-27.60,0.0
2019-12-31,35.2,$-54.40,0.0
2019-09-30,29.27,$-218.00,0.0
2019-06-30,44.0,$-330.38,0.0
2019-03-31,118.4,$-450.35,0.0
2018-12-31,50.21,$-547.52,0.0
2018-09-30,122.9,$-383.92,0.0
2018-06-30,302.4,$-263.95,0.0
2018-03-31,499.2,$-460.71,0.0
2017-12-31,979.2,$-326.34,0.0
2017-10-31,1440.0,$-451.11,0.0
2017-09-30,1680.0,$-451.11,0.0
2017-07-31,1276.7,$-556.69,0.0
2017-06-30,1334.4,$-556.69,0.0
2017-04-30,1296.0,$-431.91,0.0
2017-03-31,1324.9,$-431.91,0.0
2017-01-31,1401.6,0,0.0
2016-10-31,1209.6,0,0.0
2016-07-31,1545.6,0,0.0
2016-04-30,1315.2,0,0.0
2016-01-31,1248.0,0,0.0
2015-10-31,1420.8,0,0.0
2015-07-31,1488.0,0,0.0
2015-04-30,2764.8,0,0.0
2015-01-31,5596.8,0,0.0
2014-10-31,15523.2,0,0.0
2014-07-31,20209.73,0,0.0
2014-04-30,22598.4,0,0.0
2014-01-31,29990.4,0,0.0
2013-10-31,42240.0,0,0.0
2013-07-31,62937.6,0,0.0
2013-04-30,51729.21,0,0.0
2013-01-31,67415.04,0,0.0
2012-10-31,72441.6,0,0.0
2012-07-31,110879.99,0,0.0
2012-04-30,158292.28,0,0.0
2012-01-31,249849.59,0,0.0
2011-10-31,340031.98,0,0.0
2011-07-31,442041.58,0,0.0
2011-04-30,384236.14,0,0.0
2011-01-31,399167.98,0,0.0
2010-10-31,484915.17,0,0.0
2010-07-31,369599.98,0,0.0
2010-04-30,470131.17,0,0.0
2010-01-31,450911.98,0,0.0
2009-10-31,446476.78,0,0.0
