EOG Resources PE Ratio Historical Data,EOG Resources PE Ratio Historical Data,EOG Resources PE Ratio Historical Data,EOG Resources PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,124.3,,11.07
2024-12-31,122.58,$11.23,10.92
2024-09-30,122.06,$12.42,9.83
2024-06-30,124.12,$12.95,9.58
2024-03-31,125.2,$12.66,9.89
2023-12-31,117.5,$13.01,9.03
2023-09-30,120.89,$13.46,8.98
2023-06-30,108.39,$14.84,7.3
2023-03-31,107.83,$15.99,6.74
2022-12-31,119.89,$13.21,9.08
2022-09-30,101.57,$12.73,7.98
2022-06-30,98.45,$9.75,10.1
2022-03-31,104.21,$7.49,13.91
2021-12-31,76.42,$7.98,9.58
2021-09-30,67.17,$5.17,12.99
2021-06-30,68.55,$3.22,21.29
2021-03-31,59.25,$0.10,592.48
2020-12-31,40.49,$-1.04,0.0
2020-09-30,28.9,$-0.52,0.0
2020-06-30,40.42,$0.61,66.26
2020-03-31,28.39,$3.64,7.8
2019-12-31,65.98,$4.72,13.98
2019-09-30,58.22,$5.16,11.28
2019-06-30,72.84,$6.15,11.84
2019-03-31,74.26,$5.89,12.61
2018-12-31,67.89,$5.89,11.53
2018-09-30,99.13,$8.55,11.59
2018-06-30,96.55,$6.67,14.47
2018-03-31,81.55,$5.51,14.8
2017-12-31,83.47,$4.46,18.71
2017-09-30,74.7,$0.01,7469.87
2017-06-30,69.77,$-0.51,0.0
2017-03-31,75.06,$-1.08,0.0
2016-12-31,77.67,$-1.99,0.0
2016-09-30,74.16,$-2.26,0.0
2016-06-30,63.84,$-9.38,0.0
2016-03-31,55.43,$-8.84,0.0
2015-12-31,53.92,$-8.29,0.0
2015-09-30,55.34,$-6.96,0.0
2015-06-30,66.42,$2.52,26.36
2015-03-31,69.44,$3.80,18.27
2014-12-31,69.6,$5.32,13.08
2014-09-30,74.71,$5.57,13.41
2014-06-30,88.07,$4.41,19.99
2014-03-31,73.83,$4.33,17.07
2013-12-31,63.1,$4.03,15.68
2013-09-30,63.58,$2.03,31.4
2013-06-30,49.39,$1.84,26.92
2013-03-31,47.96,$1.36,35.27
2012-12-31,45.18,$1.05,43.02
2012-09-30,41.84,$2.22,18.89
2012-06-30,33.59,$2.57,13.09
2012-03-31,41.34,$2.38,17.37
2011-12-31,36.6,$2.04,17.94
2011-09-30,26.33,$1.92,13.71
2011-06-30,38.71,$0.78,49.95
2011-03-31,43.81,$0.35,126.99
2010-12-31,33.74,$0.32,107.11
2010-09-30,34.26,$1.00,34.26
2010-06-30,36.2,$1.15,31.48
2010-03-31,34.15,$1.00,34.33
2009-12-31,35.7,$1.08,33.06
