DHT Holdings PE Ratio Historical Data,DHT Holdings PE Ratio Historical Data,DHT Holdings PE Ratio Historical Data,DHT Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,11.13,,11.13
2024-09-30,10.8,$1.00,10.8
2024-06-30,11.05,$0.97,11.39
2024-03-31,10.72,$1.05,10.21
2023-12-31,8.97,$0.99,9.06
2023-09-30,9.24,$1.15,8.04
2023-06-30,7.39,$1.00,7.39
2023-03-31,9.11,$0.71,12.83
2022-12-31,7.23,$0.38,19.04
2022-09-30,6.13,$-0.02,0.0
2022-06-30,4.95,$-0.19,0.0
2022-03-31,4.67,$-0.25,0.0
2021-12-31,4.16,$-0.08,0.0
2021-09-30,5.22,$-0.02,0.0
2021-06-30,5.17,$0.42,12.3
2021-03-31,4.69,$1.23,3.81
2020-12-31,4.1,$1.60,2.56
2020-09-30,3.9,$2.03,1.92
2020-06-30,3.57,$1.65,2.16
2020-03-31,5.05,$0.77,6.55
2019-12-31,5.15,$0.45,11.45
2019-09-30,3.8,$0.06,63.35
2019-06-30,3.64,$-0.02,0.0
2019-03-31,2.71,$-0.15,0.0
2018-12-31,2.35,$-0.33,0.0
2018-09-30,2.81,$-0.46,0.0
2018-06-30,2.79,$-0.35,0.0
2018-03-31,2.01,$-0.11,0.0
2017-12-31,2.12,$0.10,21.15
2017-09-30,2.33,$0.33,7.07
2017-06-30,2.42,$-0.44,0.0
2017-03-31,2.56,$-0.14,0.0
2016-12-31,2.33,$0.01,0.0
2016-09-30,2.35,$0.14,16.77
2016-06-30,2.7,$1.22,2.21
2016-03-31,2.95,$1.12,2.64
2015-12-31,3.98,$1.07,3.72
2015-09-30,3.56,$1.07,3.33
2015-06-30,3.66,$0.70,5.23
2015-03-31,3.22,$0.34,9.47
2014-12-31,3.35,$0.08,41.87
2014-09-30,2.81,$0.25,11.25
2014-06-30,3.28,$0.09,36.42
2014-03-31,3.53,$-0.29,0.0
2013-12-31,3.1,$-0.52,0.0
2013-09-30,1.97,$-1.41,0.0
2013-06-30,2.01,$-7.42,0.0
2013-03-31,2.14,$-6.68,0.0
2012-12-31,1.82,$-5.24,0.0
2012-09-30,2.77,$-3.99,0.0
2012-06-30,3.18,$-7.56,0.0
2012-03-31,4.78,$-6.96,0.0
2011-12-31,3.59,$-7.32,0.0
2011-09-30,9.67,$-6.48,0.0
2011-06-30,17.68,$4.20,4.21
2011-03-31,21.7,$2.88,7.53
2010-12-31,20.58,$1.56,13.18
2010-09-30,17.88,$0.84,21.28
2010-06-30,16.24,$0.24,67.66
2010-03-31,16.15,$1.92,8.41
2009-12-31,15.16,$4.44,3.41
