Genie Energy PE Ratio Historical Data,Genie Energy PE Ratio Historical Data,Genie Energy PE Ratio Historical Data,Genie Energy PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,14.79,,14.22
2024-12-31,15.59,$1.04,14.99
2024-09-30,16.17,$0.14,115.53
2024-06-30,14.48,$0.29,49.94
2024-03-31,14.87,$0.50,29.73
2023-12-31,27.62,$0.74,37.32
2023-09-30,14.42,$2.25,6.41
2023-06-30,13.77,$2.42,5.69
2023-03-31,13.39,$3.15,4.25
2022-12-31,9.96,$3.28,3.04
2022-09-30,8.94,$3.79,2.36
2022-06-30,8.69,$2.99,2.91
2022-03-31,6.34,$1.88,3.37
2021-12-31,5.17,$1.12,4.61
2021-09-30,6.06,$-0.06,0.0
2021-06-30,5.86,$0.28,20.94
2021-03-31,5.88,$0.15,39.21
2020-12-31,6.69,$0.44,15.2
2020-09-30,7.35,$0.50,14.69
2020-06-30,6.7,$0.44,15.22
2020-03-31,6.46,$0.09,71.82
2019-12-31,6.88,$0.10,68.78
2019-09-30,6.58,$0.57,11.54
2019-06-30,9.29,$0.60,15.49
2019-03-31,7.36,$0.80,9.2
2018-12-31,5.17,$0.83,6.23
2018-09-30,4.58,$0.35,13.09
2018-06-30,4.15,$0.16,25.93
2018-03-31,4.11,$-0.25,0.0
2017-12-31,3.54,$-0.36,0.0
2017-09-30,5.25,$-0.40,0.0
2017-06-30,6.03,$-1.85,0.0
2017-03-31,5.67,$-1.22,0.0
2016-12-31,4.45,$-1.09,0.0
2016-09-30,4.52,$-1.23,0.0
2016-06-30,5.14,$0.30,17.13
2016-03-31,5.73,$-0.05,0.0
2015-12-31,8.4,$-0.42,0.0
2015-09-30,6.2,$-0.73,0.0
2015-06-30,7.89,$-1.05,0.0
2015-03-31,5.96,$-1.07,0.0
2014-12-31,4.59,$-1.29,0.0
2014-09-30,5.22,$-0.83,0.0
2014-06-30,5.85,$-0.53,0.0
2014-03-31,7.41,$-0.61,0.0
2013-12-31,7.59,$-0.37,0.0
2013-09-30,7.28,$-0.25,0.0
2013-06-30,6.8,$-0.46,0.0
2013-03-31,6.88,$-0.29,0.0
2012-12-31,5.28,$-0.17,0.0
2012-09-30,5.33,$-0.25,0.0
2012-06-30,5.74,$-0.12,0.0
