EuroDry PE Ratio Historical Data,EuroDry PE Ratio Historical Data,EuroDry PE Ratio Historical Data,EuroDry PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,11.12,,0.0
2024-09-30,20.5,$-2.20,0.0
2024-06-30,24.56,$-0.86,0.0
2024-03-31,20.84,$-1.14,0.0
2023-12-31,19.05,$-1.04,0.0
2023-09-30,15.35,$1.03,14.9
2023-06-30,14.12,$3.32,4.25
2023-03-31,16.57,$7.36,2.25
2022-12-31,17.19,$11.55,1.49
2022-09-30,13.0,$14.67,0.89
2022-06-30,18.09,$16.98,1.07
2022-03-31,33.9,$14.18,2.39
2021-12-31,19.04,$10.73,1.77
2021-09-30,31.18,$5.10,6.11
2021-06-30,24.34,$0.75,32.45
2021-03-31,8.75,$-1.92,0.0
2020-12-31,5.48,$-3.28,0.0
2020-09-30,3.8,$-2.52,0.0
2020-06-30,3.5,$-2.93,0.0
2020-03-31,4.81,$-2.21,0.0
2019-12-31,7.8,$-0.86,0.0
2019-09-30,8.0,$-1.06,0.0
2019-06-30,7.05,$-0.08,0.0
2019-03-31,8.67,$1.23,7.05
