Renovaro PE Ratio Historical Data,Renovaro PE Ratio Historical Data,Renovaro PE Ratio Historical Data,Renovaro PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.69,,0.0
2024-12-31,0.84,$-0.93,0.0
2024-09-30,0.48,$-0.96,0.0
2024-06-30,1.75,$-0.82,0.0
2024-03-31,2.65,$-0.78,0.0
2023-12-31,3.17,$-0.70,0.0
2023-09-30,4.47,$-0.63,0.0
2023-06-30,0.57,$-0.49,0.0
2023-03-31,0.92,$-0.08,0.0
2022-12-31,1.03,$-0.12,0.0
2022-09-30,1.81,$-0.25,0.0
2022-06-30,1.93,$-0.45,0.0
2022-03-31,8.25,$-0.82,0.0
2021-12-31,7.29,$-0.79,0.0
2021-09-30,6.73,$-0.72,0.0
2021-06-30,4.97,$-0.52,0.0
2021-03-31,3.54,$-0.15,0.0
2020-12-31,2.95,$-0.09,0.0
2020-09-30,3.58,$-0.03,0.0
2020-06-30,4.21,$-0.12,0.0
2020-03-31,3.0,$0.07,42.86
2019-12-31,5.02,$-0.03,0.0
2019-09-30,5.5,$-0.53,0.0
