Strattec Security PE Ratio Historical Data,Strattec Security PE Ratio Historical Data,Strattec Security PE Ratio Historical Data,Strattec Security PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,43.54,,10.89
2024-12-31,41.2,$4.00,10.3
2024-09-30,42.66,$3.94,10.83
2024-06-30,25.0,$4.07,6.14
2024-03-31,23.73,$0.99,23.97
2023-12-31,25.34,$0.05,506.8
2023-09-30,22.9,$-0.68,0.0
2023-06-30,18.14,$-1.70,0.0
2023-03-31,22.75,$-0.91,0.0
2022-12-31,20.55,$0.46,44.67
2022-09-30,20.8,$1.80,11.56
2022-06-30,33.15,$1.80,18.42
2022-03-31,37.75,$2.45,15.41
2021-12-31,37.02,$2.80,13.22
2021-09-30,38.9,$3.78,10.29
2021-06-30,44.46,$5.86,7.59
2021-03-31,46.9,$2.31,20.3
2020-12-31,49.36,$1.95,25.31
2020-09-30,19.9,$-0.26,0.0
2020-06-30,15.94,$-2.04,0.0
2020-03-31,14.47,$0.74,19.55
2019-12-31,22.02,$0.41,53.7
2019-09-30,19.6,$-5.19,0.0
2019-06-30,23.58,$-4.59,0.0
2019-03-31,28.6,$-3.50,0.0
2018-12-31,27.9,$-3.16,0.0
2018-09-30,34.54,$3.58,9.65
2018-06-30,29.47,$3.32,8.88
2018-03-31,35.5,$2.73,13.0
2017-12-31,41.67,$2.88,14.47
2017-09-30,39.0,$2.21,17.65
2017-06-30,33.63,$1.96,17.16
2017-03-31,26.3,$1.64,16.03
2016-12-31,37.95,$1.21,31.36
2016-09-30,33.13,$2.04,16.24
2016-06-30,38.12,$2.52,15.13
2016-03-31,53.51,$2.69,19.89
2015-12-31,52.55,$3.37,15.59
2015-09-30,58.54,$4.01,14.6
2015-06-30,63.64,$5.66,11.24
2015-03-31,68.29,$6.91,9.88
2014-12-31,76.24,$6.71,11.36
2014-09-30,75.01,$6.22,12.06
2014-06-30,59.38,$4.58,12.97
2014-03-31,66.4,$3.92,16.94
2013-12-31,41.01,$3.24,12.66
2013-09-30,35.12,$2.85,12.32
2013-06-30,34.11,$2.72,12.54
2013-03-31,25.96,$2.77,9.37
2012-12-31,23.56,$3.27,7.21
2012-09-30,19.16,$3.04,6.3
2012-06-30,18.88,$2.65,7.12
2012-03-31,20.9,$2.49,8.39
2011-12-31,17.74,$1.69,10.5
2011-09-30,21.32,$1.59,13.41
2011-06-30,18.63,$1.63,11.43
2011-03-31,29.6,$1.08,27.41
2010-12-31,29.42,$1.30,22.63
2010-09-30,21.18,$1.19,17.79
2010-06-30,18.75,$1.05,17.86
2010-03-31,17.24,$0.14,123.14
2009-12-31,15.7,$-0.97,0.0
