Galiano Gold PE Ratio Historical Data,Galiano Gold PE Ratio Historical Data,Galiano Gold PE Ratio Historical Data,Galiano Gold PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.31,,0.0
2024-09-30,1.42,$-0.02,0.0
2024-06-30,1.72,$0.03,57.33
2024-03-31,1.4,$0.05,28.0
2023-12-31,0.94,$0.11,8.54
2023-09-30,0.59,$0.27,2.18
2023-06-30,0.59,$0.23,2.57
2023-03-31,0.58,$0.24,2.43
2022-12-31,0.52,$0.19,2.74
2022-09-30,0.49,$-0.34,0.0
2022-06-30,0.4,$-0.33,0.0
2022-03-31,0.55,$-0.37,0.0
2021-12-31,0.7,$-0.30,0.0
2021-09-30,0.72,$0.18,4.0
2021-06-30,1.09,$0.17,6.41
2021-03-31,1.12,$0.22,5.09
2020-12-31,1.13,$0.26,4.35
2020-09-30,1.38,$0.09,15.33
2020-06-30,1.33,$-0.57,0.0
2020-03-31,0.79,$-0.61,0.0
2019-12-31,0.95,$-0.73,0.0
2019-09-30,0.91,$-0.64,0.0
2019-06-30,0.63,$0.01,0.0
2019-03-31,0.62,$-0.65,0.0
2018-12-31,0.64,$-0.62,0.0
2018-09-30,0.81,$-0.65,0.0
2018-06-30,1.07,$-0.63,0.0
2018-03-31,1.0,$0.00,0.0
2017-12-31,0.71,$0.03,23.54
2017-09-30,0.95,$0.02,47.67
2017-06-30,1.53,$0.06,25.5
2017-03-31,2.61,0,0.0
2016-12-31,3.06,$-0.06,0.0
2016-09-30,4.2,$-0.02,0.0
2016-06-30,3.81,$-0.10,0.0
2016-03-31,2.13,$-0.04,0.0
2015-12-31,1.46,$-0.04,0.0
2015-09-30,1.47,$-0.06,0.0
2015-06-30,1.71,$-0.09,0.0
2015-03-31,1.45,$-0.09,0.0
2014-12-31,1.54,$-0.15,0.0
2014-09-30,2.08,$-0.16,0.0
2014-06-30,2.59,$-0.12,0.0
2014-03-31,2.07,$-0.10,0.0
2013-12-31,1.64,$-0.02,0.0
2013-09-30,2.3,$-0.06,0.0
2013-06-30,2.1,$-0.07,0.0
2013-03-31,3.29,$-0.17,0.0
2012-12-31,3.96,$-0.27,0.0
2012-09-30,3.71,$-0.23,0.0
2012-06-30,2.95,$-0.41,0.0
2012-03-31,3.76,$-0.33,0.0
2011-12-31,3.83,$-0.23,0.0
2011-09-30,5.04,$-0.26,0.0
2011-06-30,7.73,$-0.13,0.0
2011-03-31,8.68,$-0.19,0.0
2010-12-31,8.79,$-0.19,0.0
2010-09-30,7.6,$-0.13,0.0
2010-06-30,5.32,$-0.06,0.0
2010-03-31,6.06,0,0.0
2009-12-31,6.32,$-0.06,0.0
