Zoetis PE Ratio Historical Data,Zoetis PE Ratio Historical Data,Zoetis PE Ratio Historical Data,Zoetis PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,163.16,,29.83
2024-12-31,162.93,$5.47,29.79
2024-09-30,194.91,$5.32,36.64
2024-06-30,172.53,$5.11,33.76
2024-03-31,167.92,$5.19,32.35
2023-12-31,195.43,$5.07,38.55
2023-09-30,171.86,$4.92,34.93
2023-06-30,169.74,$4.76,35.66
2023-03-31,163.7,$4.43,36.95
2022-12-31,143.8,$4.50,31.96
2022-09-30,145.2,$4.38,33.15
2022-06-30,167.99,$4.41,38.09
2022-03-31,184.0,$4.36,42.2
2021-12-31,237.7,$4.27,55.67
2021-09-30,188.88,$4.15,45.51
2021-06-30,181.09,$3.99,45.39
2021-03-31,152.8,$3.71,41.19
2020-12-31,160.33,$3.42,46.88
2020-09-30,160.01,$3.47,46.11
2020-06-30,132.41,$3.37,39.29
2020-03-31,113.54,$3.35,33.89
2019-12-31,127.5,$3.12,40.86
2019-09-30,119.86,$3.03,39.56
2019-06-30,109.03,$2.84,38.39
2019-03-31,96.55,$2.86,33.76
2018-12-31,81.88,$2.93,27.95
2018-09-30,87.52,$2.38,36.77
2018-06-30,81.31,$2.28,35.66
2018-03-31,79.59,$1.99,40.0
2017-12-31,68.55,$1.75,39.17
2017-09-30,60.58,$1.90,31.88
2017-06-30,59.27,$1.77,33.48
2017-03-31,50.52,$1.72,29.37
2016-12-31,50.57,$1.65,30.65
2016-09-30,49.04,$1.38,35.53
2016-06-30,44.75,$1.28,34.96
2016-03-31,41.62,$0.76,54.77
2015-12-31,44.9,$0.68,66.02
2015-09-30,38.51,$0.89,43.27
2015-06-30,45.02,$0.84,53.59
2015-03-31,43.14,$1.18,36.56
2014-12-31,40.03,$1.16,34.5
2014-09-30,34.3,$1.12,30.63
2014-06-30,29.9,$1.05,28.47
2014-03-31,26.75,$1.04,25.72
2013-12-31,30.14,$1.01,29.85
