Armstrong World Industries PE Ratio Historical Data,Armstrong World Industries PE Ratio Historical Data,Armstrong World Industries PE Ratio Historical Data,Armstrong World Industries PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,141.07,,23.39
2024-12-31,141.33,$6.03,23.44
2024-09-30,131.17,$5.67,23.13
2024-06-30,112.75,$5.48,20.57
2024-03-31,123.38,$5.32,23.19
2023-12-31,97.43,$5.00,19.49
2023-09-30,71.09,$5.01,14.19
2023-06-30,72.3,$4.70,15.38
2023-03-31,69.85,$4.47,15.63
2022-12-31,67.03,$4.37,15.34
2022-09-30,77.16,$4.18,18.46
2022-06-30,72.81,$3.99,18.25
2022-03-31,87.2,$4.02,21.69
2021-12-31,112.21,$3.82,29.37
2021-09-30,92.06,$3.41,27.0
2021-06-30,103.23,$3.48,29.66
2021-03-31,86.53,$3.39,25.52
2020-12-31,71.27,$-2.06,0.0
2020-09-30,65.7,$-1.57,0.0
2020-06-30,74.23,$-1.22,0.0
2020-03-31,75.42,$-1.18,0.0
2019-12-31,89.07,$4.31,20.67
2019-09-30,91.46,$4.05,22.58
2019-06-30,91.93,$4.03,22.81
2019-03-31,75.12,$3.83,19.61
2018-12-31,54.93,$3.56,15.43
2018-09-30,65.51,$3.49,18.77
2018-06-30,59.48,$2.95,20.16
2018-03-31,52.99,$2.83,18.72
2017-12-31,56.99,$2.88,19.79
2017-09-30,48.24,$2.74,17.6
2017-06-30,43.29,$3.08,14.06
2017-03-31,43.34,$2.61,16.61
2016-12-31,39.34,$1.87,21.04
2016-09-30,38.89,$1.13,34.42
2016-06-30,36.85,$0.44,83.74
2016-03-31,39.44,$0.67,58.87
2015-12-31,37.29,$1.68,22.2
2015-09-30,38.93,$1.87,20.82
2015-06-30,43.45,$1.87,23.23
2015-03-31,46.86,$1.68,27.89
2014-12-31,41.68,$1.15,36.25
2014-09-30,45.66,$1.41,32.39
2014-06-30,46.83,$1.69,27.71
2014-03-31,43.42,$1.85,23.47
2013-12-31,46.98,$1.60,29.36
2013-09-30,44.82,$1.54,29.1
2013-06-30,38.97,$1.74,22.4
2013-03-31,45.57,$1.94,23.49
2012-12-31,41.37,$2.20,18.8
2012-09-30,37.81,$2.20,17.19
2012-06-30,40.09,$2.04,19.65
2012-03-31,39.77,$1.98,20.08
2011-12-31,30.44,$1.90,16.02
2011-09-30,23.89,$1.40,17.07
2011-06-30,31.61,$0.93,33.99
2011-03-31,32.1,$0.75,42.8
2010-12-31,29.83,$0.18,165.74
2010-09-30,21.55,$0.47,45.86
2010-06-30,15.67,$1.17,13.39
2010-03-31,18.85,$1.21,15.58
2009-12-31,20.21,$1.35,14.97
