Willdan PE Ratio Historical Data,Willdan PE Ratio Historical Data,Willdan PE Ratio Historical Data,Willdan PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,43.06,,27.25
2024-12-31,38.09,$1.58,24.11
2024-09-30,40.95,$1.63,25.12
2024-06-30,28.85,$1.23,23.46
2024-03-31,28.99,$0.93,31.17
2023-12-31,21.5,$0.79,27.22
2023-09-30,20.43,$0.18,113.5
2023-06-30,19.16,$0.08,239.5
2023-03-31,15.62,$-0.28,0.0
2022-12-31,17.85,$-0.65,0.0
2022-09-30,14.81,$-0.69,0.0
2022-06-30,27.58,$-0.64,0.0
2022-03-31,30.69,$-0.68,0.0
2021-12-31,35.2,$-0.69,0.0
2021-09-30,35.59,$-0.95,0.0
2021-06-30,37.64,$-0.80,0.0
2021-03-31,41.05,$-0.86,0.0
2020-12-31,41.7,$-1.26,0.0
2020-09-30,25.51,$-0.66,0.0
2020-06-30,25.01,$-0.83,0.0
2020-03-31,21.37,$-0.26,0.0
2019-12-31,31.78,$0.41,77.51
2019-09-30,35.08,$0.25,140.32
2019-06-30,37.25,$0.56,66.52
2019-03-31,37.07,$0.78,47.53
2018-12-31,34.98,$1.06,33.0
2018-09-30,33.96,$1.31,25.92
2018-06-30,30.97,$1.27,24.39
2018-03-31,28.35,$1.27,22.32
2017-12-31,23.94,$1.33,18.0
2017-09-30,32.46,$1.15,28.23
2017-06-30,30.55,$1.12,27.28
2017-03-31,32.26,$1.13,28.55
2016-12-31,22.59,$0.96,23.53
2016-09-30,17.55,$0.83,21.14
2016-06-30,10.62,$0.65,16.34
2016-03-31,9.65,$0.48,20.1
2015-12-31,8.38,$0.53,15.81
2015-09-30,10.14,$0.74,13.7
2015-06-30,11.18,$1.17,9.56
2015-03-31,15.84,$1.22,12.98
2014-12-31,13.49,$1.21,11.15
2014-09-30,14.46,$1.04,13.9
2014-06-30,8.67,$0.62,13.98
2014-03-31,4.53,$0.46,9.85
2013-12-31,5.31,$0.34,15.62
2013-09-30,3.71,$0.29,12.79
2013-06-30,3.01,$0.29,10.38
2013-03-31,2.21,$-2.13,0.0
2012-12-31,2.22,$-2.37,0.0
2012-09-30,1.7,$-2.52,0.0
2012-06-30,1.51,$-2.34,0.0
2012-03-31,3.65,$0.09,40.56
2011-12-31,3.96,$0.24,16.5
2011-09-30,3.73,$0.39,9.56
2011-06-30,3.95,$0.21,18.81
2011-03-31,4.03,$0.28,14.39
2010-12-31,4.0,$0.37,10.81
2010-09-30,3.4,$-0.13,0.0
2010-06-30,2.76,$-0.36,0.0
2010-03-31,2.16,$-0.65,0.0
2009-12-31,2.38,$-0.76,0.0
