Zynex PE Ratio Historical Data,Zynex PE Ratio Historical Data,Zynex PE Ratio Historical Data,Zynex PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.57,,28.56
2024-12-31,8.01,$0.09,89.0
2024-09-30,8.16,$0.15,54.4
2024-06-30,9.32,$0.18,51.78
2024-03-31,12.37,$0.23,53.78
2023-12-31,10.89,$0.27,40.33
2023-09-30,8.0,$0.43,18.6
2023-06-30,9.59,$0.46,20.85
2023-03-31,12.0,$0.45,26.67
2022-12-31,13.91,$0.44,31.61
2022-09-30,9.07,$0.47,19.3
2022-06-30,7.98,$0.49,16.13
2022-03-31,6.23,$0.49,12.78
2021-12-31,9.86,$0.44,22.46
2021-09-30,11.27,$0.25,44.26
2021-06-30,15.36,$0.14,112.65
2021-03-31,15.11,$0.15,103.83
2020-12-31,13.32,$0.25,54.24
2020-09-30,17.26,$0.28,61.26
2020-06-30,24.61,$0.30,82.05
2020-03-31,10.95,$0.27,40.18
2019-12-31,7.79,$0.25,30.61
