Tokyo Lifestyle PE Ratio Historical Data,Tokyo Lifestyle PE Ratio Historical Data,Tokyo Lifestyle PE Ratio Historical Data,Tokyo Lifestyle PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,3.38,,inf
2024-09-30,0.58,0.0,0.0
2024-03-31,0.25,0.0,0.0
2023-09-30,1.0,0.0,0.0
