Levi Strauss PE Ratio Historical Data,Levi Strauss PE Ratio Historical Data,Levi Strauss PE Ratio Historical Data,Levi Strauss PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,15.8,,30.38
2024-11-30,17.46,$0.52,33.58
2024-08-31,19.13,$0.38,50.33
2024-05-31,23.65,$0.35,67.58
2024-02-29,17.8,$0.31,57.43
2023-11-30,15.07,$0.63,23.92
2023-08-31,13.28,$0.69,19.25
2023-05-31,12.66,$1.10,11.51
2023-02-28,17.02,$1.22,13.95
2022-11-30,15.58,$1.41,11.05
2022-08-31,15.79,$1.40,11.28
2022-05-31,16.87,$1.44,11.72
2022-02-28,20.93,$1.48,14.14
2021-11-30,23.53,$1.35,17.43
2021-08-31,24.05,$1.12,21.47
2021-05-31,24.48,$0.72,34.0
2021-02-28,21.24,$-0.35,0.0
2020-11-30,16.76,$-0.33,0.0
2020-08-31,11.23,$-0.24,0.0
2020-05-31,12.29,$-0.01,0.0
2020-02-29,15.38,$0.97,15.86
