National Energy Services Reunited PE Ratio Historical Data,National Energy Services Reunited PE Ratio Historical Data,National Energy Services Reunited PE Ratio Historical Data,National Energy Services Reunited PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,8.0,,19.05
2024-09-30,2.65,$0.42,6.31
2024-06-30,2.65,$0.20,13.25
2023-12-31,2.65,0,0.0
2023-09-30,2.65,$0.18,14.72
2023-06-30,2.65,$0.31,8.55
2021-03-31,12.37,$0.43,28.77
2020-12-31,9.93,$0.56,17.73
2020-09-30,6.38,$0.42,15.19
2020-06-30,6.88,$0.42,16.38
2020-03-31,5.08,$0.43,11.81
2019-12-31,9.12,$0.45,20.27
2019-09-30,6.68,$0.41,16.29
2019-06-30,8.7,$0.47,18.51
2019-03-31,10.45,$0.34,30.74
2018-12-31,8.66,$-0.01,0.0
2018-09-30,11.62,$-0.01,0.0
2018-06-30,10.35,$-0.20,0.0
2018-03-31,9.93,$-0.16,0.0
