Sunnova Energy PE Ratio Historical Data,Sunnova Energy PE Ratio Historical Data,Sunnova Energy PE Ratio Historical Data,Sunnova Energy PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.53,,0.0
2024-12-31,3.43,$-2.96,0.0
2024-09-30,9.74,$-3.35,0.0
2024-06-30,5.58,$-2.90,0.0
2024-03-31,6.13,$-3.37,0.0
2023-12-31,15.25,$-3.50,0.0
2023-09-30,10.47,$-2.15,0.0
2023-06-30,18.31,$-2.16,0.0
2023-03-31,15.62,$-1.74,0.0
2022-12-31,18.01,$-1.34,0.0
2022-09-30,22.08,$-1.29,0.0
2022-06-30,18.43,$-1.00,0.0
2022-03-31,23.06,$-1.25,0.0
2021-12-31,27.92,$-1.26,0.0
2021-09-30,32.94,$-2.09,0.0
2021-06-30,37.66,$-2.57,0.0
2021-03-31,40.82,$-2.30,0.0
2020-12-31,45.13,$-2.84,0.0
2020-09-30,30.41,$-2.09,0.0
2020-06-30,17.07,$-1.98,0.0
