BGSF PE Ratio Historical Data,BGSF PE Ratio Historical Data,BGSF PE Ratio Historical Data,BGSF PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,3.69,,0.0
2024-12-31,5.24,$-0.21,0.0
2024-09-30,8.42,$-0.10,0.0
2024-06-30,8.55,$0.21,40.71
2024-03-31,10.41,$0.52,20.02
2023-12-31,9.26,$-0.95,0.0
2023-09-30,9.33,$-0.90,0.0
2023-06-30,9.11,$-0.70,0.0
2023-03-31,10.02,$-0.64,0.0
2022-12-31,14.28,$2.38,6.0
2022-09-30,10.23,$2.72,3.76
2022-06-30,11.26,$2.73,4.12
2022-03-31,11.85,$2.76,4.29
2021-12-31,12.78,$1.35,9.47
2021-09-30,11.3,$1.06,10.66
2021-06-30,10.81,$0.86,12.57
2021-03-31,12.17,$0.06,202.78
2020-12-31,11.64,$0.13,89.52
2020-09-30,7.24,$0.18,40.21
2020-06-30,9.63,$0.34,28.33
2020-03-31,6.33,$1.18,5.36
2019-12-31,18.25,$1.28,14.26
2019-09-30,15.71,$1.49,10.54
2019-06-30,15.27,$1.57,9.73
2019-03-31,17.67,$1.74,10.15
2018-12-31,16.53,$1.77,9.34
2018-09-30,21.52,$1.20,17.94
2018-06-30,18.19,$1.06,17.16
2018-03-31,14.65,$0.77,19.02
2017-12-31,12.11,$0.65,18.64
2017-09-30,12.38,$1.01,12.26
2017-06-30,12.81,$0.92,13.93
2017-03-31,10.38,$0.84,12.36
2016-12-31,11.11,$0.80,13.89
2016-09-30,10.83,$0.74,14.64
2016-06-30,13.07,$0.77,16.98
2016-03-31,8.98,$0.80,11.22
2015-12-31,9.98,$0.71,14.05
2015-09-30,8.34,$0.60,13.9
2015-06-30,7.32,$0.37,19.79
2015-03-31,8.14,$0.21,38.77
