Youdao PE Ratio Historical Data,Youdao PE Ratio Historical Data,Youdao PE Ratio Historical Data,Youdao PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,8.09,,115.57
2024-09-30,4.15,$0.07,59.29
2024-06-30,3.92,$-0.16,0.0
2024-03-31,4.02,$-0.38,0.0
2023-12-31,3.94,$-0.63,0.0
2023-09-30,4.02,$-0.69,0.0
2023-06-30,4.82,$-0.78,0.0
2023-03-31,8.5,$-0.99,0.0
2022-12-31,5.38,$-0.88,0.0
2022-09-30,3.93,$-0.91,0.0
2022-06-30,4.92,$-0.86,0.0
2022-03-31,7.1,$-0.97,0.0
2021-12-31,12.48,$-1.26,0.0
2021-09-30,12.09,$-1.84,0.0
2021-06-30,23.09,$-2.82,0.0
2021-03-31,23.82,$-2.49,0.0
2020-12-31,26.53,$-2.28,0.0
