Gossamer Bio PE Ratio Historical Data,Gossamer Bio PE Ratio Historical Data,Gossamer Bio PE Ratio Historical Data,Gossamer Bio PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.35,,0.0
2024-12-31,0.9,$-0.11,0.0
2024-09-30,0.99,$-0.32,0.0
2024-06-30,0.9,$-0.39,0.0
2024-03-31,1.18,$-1.06,0.0
2023-12-31,0.91,$-1.39,0.0
2023-09-30,0.83,$-1.77,0.0
2023-06-30,1.2,$-2.21,0.0
2023-03-31,1.26,$-2.50,0.0
2022-12-31,2.17,$-2.74,0.0
2022-09-30,11.98,$-2.89,0.0
2022-06-30,8.37,$-3.04,0.0
2022-03-31,8.68,$-3.10,0.0
2021-12-31,11.31,$-3.12,0.0
2021-09-30,12.57,$-3.26,0.0
2021-06-30,8.12,$-3.26,0.0
2021-03-31,9.25,$-3.46,0.0
2020-12-31,9.67,$-3.55,0.0
2020-09-30,12.41,$-3.56,0.0
2020-06-30,13.0,$-3.56,0.0
2020-03-31,10.15,$-3.30,0.0
2019-12-31,15.63,$-3.33,0.0
