Creative Medical Technology Holdings PE Ratio Historical Data,Creative Medical Technology Holdings PE Ratio Historical Data,Creative Medical Technology Holdings PE Ratio Historical Data,Creative Medical Technology Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.78,,0.0
2024-09-30,3.1,$-3.80,0.0
2024-06-30,3.85,$-4.07,0.0
2024-03-31,5.21,$-3.74,0.0
2023-12-31,4.61,$-3.71,0.0
2023-09-30,4.92,$-7.80,0.0
2023-06-30,4.64,$-6.78,0.0
2023-03-31,5.0,$-6.00,0.0
2022-12-31,3.81,$-5.30,0.0
2022-09-30,4.4,0,0.0
