Oshkosh PE Ratio Historical Data,Oshkosh PE Ratio Historical Data,Oshkosh PE Ratio Historical Data,Oshkosh PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,97.68,,9.44
2024-12-31,95.07,$10.35,9.19
2024-09-30,99.79,$10.30,9.69
2024-06-30,107.26,$10.34,10.37
2024-03-31,123.16,$10.45,11.79
2023-12-31,106.62,$9.08,11.74
2023-09-30,93.86,$7.94,11.82
2023-06-30,84.81,$6.05,14.02
2023-03-31,81.02,$3.79,21.38
2022-12-31,85.52,$2.42,35.34
2022-09-30,67.88,$1.37,49.55
2022-06-30,78.99,$1.77,44.63
2022-03-31,96.38,$4.43,21.76
2021-12-31,107.59,$5.90,18.24
2021-09-30,97.41,$6.82,14.28
2021-06-30,118.27,$5.52,21.43
2021-03-31,112.31,$3.62,31.03
2020-12-31,81.2,$3.17,25.61
2020-09-30,69.04,$3.26,21.18
2020-06-30,67.02,$3.26,20.56
2020-03-31,59.9,$4.81,12.45
2019-12-31,87.82,$5.64,15.57
2019-09-30,70.1,$6.05,11.59
2019-06-30,76.91,$6.05,12.71
2019-03-31,68.97,$5.38,12.82
2018-12-31,56.09,$5.03,11.15
2018-09-30,64.91,$4.26,15.24
2018-06-30,63.84,$4.26,14.99
2018-03-31,69.93,$3.90,17.93
2017-12-31,82.02,$3.01,27.25
2017-09-30,74.28,$2.53,29.36
2017-06-30,61.81,$2.53,24.43
2017-03-31,61.36,$1.97,31.15
2016-12-31,57.62,$2.15,26.8
2016-09-30,49.78,$2.08,23.93
2016-06-30,42.26,$2.08,20.32
2016-03-31,36.05,$2.08,17.33
2015-12-31,34.22,$2.01,17.03
2015-09-30,31.7,$2.25,14.09
2015-06-30,36.82,$2.25,16.36
2015-03-31,42.25,$2.34,18.06
2014-12-31,41.98,$2.48,16.93
2014-09-30,37.96,$2.68,14.16
2014-06-30,47.59,$2.68,17.76
2014-03-31,50.31,$3.13,16.07
2013-12-31,42.93,$3.27,13.13
2013-09-30,41.62,$3.15,13.21
2013-06-30,32.26,$3.15,10.24
2013-03-31,36.1,$2.30,15.7
2012-12-31,25.19,$1.74,14.48
2012-09-30,23.31,$1.65,14.13
2012-06-30,17.8,$1.65,10.79
2012-03-31,19.69,$1.58,12.46
2011-12-31,18.17,$1.91,9.51
2011-09-30,13.37,$2.58,5.18
2011-06-30,24.59,$2.58,9.53
2011-03-31,30.06,$4.14,7.26
2010-12-31,29.94,$6.62,4.52
2010-09-30,23.37,$7.40,3.16
2010-06-30,26.48,$7.40,3.58
2010-03-31,34.28,$4.73,7.25
2009-12-31,31.46,$-14.51,0.0
