Edison PE Ratio Historical Data,Edison PE Ratio Historical Data,Edison PE Ratio Historical Data,Edison PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,58.92,,17.85
2024-12-31,79.84,$3.30,24.19
2024-09-30,86.29,$3.41,25.31
2024-06-30,70.39,$2.49,28.27
2024-03-31,69.33,$2.28,30.41
2023-12-31,69.29,$3.12,22.21
2023-09-30,60.69,$3.21,18.91
2023-06-30,65.13,$2.48,26.26
2023-03-31,66.2,$2.19,30.23
2022-12-31,59.04,$1.60,36.9
2022-09-30,51.92,$1.89,27.47
2022-06-30,56.71,$1.32,42.96
2022-03-31,62.86,$1.53,41.08
2021-12-31,60.59,$1.99,30.45
2021-09-30,48.74,$2.01,24.25
2021-06-30,49.64,$2.15,23.09
2021-03-31,50.31,$2.16,23.29
2020-12-31,53.33,$1.98,26.94
2020-09-30,42.7,$0.99,43.14
2020-06-30,44.54,$3.10,14.37
2020-03-31,44.94,$3.45,13.03
2019-12-31,61.16,$3.80,16.09
2019-09-30,60.65,$-0.99,0.0
2019-06-30,53.29,$-0.77,0.0
2019-03-31,48.95,$-1.13,0.0
2018-12-31,44.44,$-1.31,0.0
2018-09-30,52.42,$1.42,36.91
2018-06-30,48.56,$1.28,37.94
2018-03-31,48.4,$1.29,37.52
2017-12-31,47.62,$1.72,27.69
2017-09-30,57.57,$4.43,12.99
2017-06-30,57.92,$4.27,13.57
2017-03-31,58.57,$4.26,13.75
2016-12-31,52.6,$3.98,13.22
2016-09-30,52.4,$2.69,19.48
2016-06-30,55.96,$2.70,20.73
2016-03-31,51.47,$3.01,17.1
2015-12-31,42.11,$3.10,13.58
2015-09-30,44.5,$4.61,9.65
2015-06-30,38.96,$4.79,8.13
2015-03-31,43.46,$5.28,8.23
2014-12-31,45.25,$4.91,9.22
2014-09-30,38.41,$4.56,8.42
2014-06-30,39.66,$4.44,8.93
2014-03-31,38.4,$2.51,15.3
2013-12-31,31.2,$2.79,11.18
2013-09-30,30.8,$0.23,133.93
2013-06-30,31.97,$-0.53,0.0
2013-03-31,33.17,$-0.02,0.0
2012-12-31,29.59,$-0.56,0.0
2012-09-30,29.69,$-1.49,0.0
2012-06-30,29.81,$-0.76,0.0
2012-03-31,27.24,$-0.44,0.0
2011-12-31,26.33,$-0.11,0.0
2011-09-30,24.13,$2.97,8.13
2011-06-30,24.24,$3.22,7.53
2011-03-31,22.7,$3.73,6.09
2010-12-31,23.74,$3.84,6.18
2010-09-30,20.98,$3.98,5.27
2010-06-30,19.17,$3.65,5.25
2010-03-31,20.46,$2.55,8.02
2009-12-31,20.63,$2.59,7.97
