Emeren Group PE Ratio Historical Data,Emeren Group PE Ratio Historical Data,Emeren Group PE Ratio Historical Data,Emeren Group PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.71,,0.0
2024-09-30,2.7,$-0.13,0.0
2024-06-30,1.5,$-0.39,0.0
2024-03-31,1.93,$-0.26,0.0
2023-12-31,2.73,$-0.18,0.0
2023-09-30,3.08,$0.05,61.6
2023-06-30,3.79,$0.26,14.58
2023-03-31,4.45,$0.12,37.08
2022-12-31,4.52,$0.09,50.22
2022-09-30,5.04,$-0.01,0.0
2022-06-30,4.75,$-0.04,0.0
2022-03-31,5.81,$0.06,96.83
2021-12-31,5.96,$0.10,59.6
2021-09-30,6.57,$0.17,38.65
2021-06-30,9.1,$0.20,45.5
2021-03-31,12.33,$0.16,77.06
2020-12-31,11.43,$0.06,190.5
2020-09-30,2.07,$-0.22,0.0
2020-06-30,1.14,$-0.20,0.0
2020-03-31,1.16,$-0.13,0.0
2019-12-31,1.42,$-0.18,0.0
2019-09-30,1.49,$0.05,29.8
2019-06-30,1.28,0,0.0
2019-03-31,1.69,$-0.15,0.0
2018-12-31,1.19,$0.13,9.15
2018-09-30,2.02,$0.17,11.88
2018-06-30,2.55,$0.16,15.94
2018-03-31,2.56,$-1.39,0.0
2017-12-31,2.66,$-2.69,0.0
2017-09-30,2.33,$-3.99,0.0
2017-06-30,2.44,$-4.99,0.0
2017-03-31,2.4,$-3.17,0.0
2016-12-31,3.2,$-1.71,0.0
2016-09-30,5.05,$-0.10,0.0
2016-06-30,6.2,$1.30,4.77
2016-03-31,7.2,$0.95,7.58
2015-12-31,8.5,$-0.25,0.0
2015-09-30,4.86,$-1.00,0.0
2015-06-30,6.85,$-2.00,0.0
2015-03-31,7.35,$-1.85,0.0
2014-12-31,7.05,$-1.65,0.0
2014-09-30,15.0,$-1.20,0.0
2014-06-30,14.75,$-11.75,0.0
2014-03-31,16.05,$-13.00,0.0
2013-12-31,17.25,$-14.55,0.0
2013-09-30,24.95,$-17.50,0.0
2013-06-30,10.7,$-10.90,0.0
2013-03-31,6.9,$-11.70,0.0
2012-12-31,7.7,$-11.80,0.0
2012-09-30,7.15,$-11.05,0.0
2012-06-30,6.3,$-6.95,0.0
2012-03-31,11.55,$-4.85,0.0
2011-12-31,7.65,$-0.05,0.0
2011-09-30,8.6,$5.55,1.55
2011-06-30,26.1,$9.50,2.75
2011-03-31,52.75,$11.50,4.59
2010-12-31,43.7,$9.75,4.48
2010-09-30,62.5,$5.15,12.14
2010-06-30,29.85,$0.95,31.42
2010-03-31,29.6,$-1.45,0.0
2009-12-31,23.8,$-4.35,0.0
