SiBone PE Ratio Historical Data,SiBone PE Ratio Historical Data,SiBone PE Ratio Historical Data,SiBone PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,14.96,,0.0
2024-12-31,14.02,$-0.76,0.0
2024-09-30,13.98,$-0.92,0.0
2024-06-30,12.93,$-1.01,0.0
2024-03-31,16.37,$-1.09,0.0
2023-12-31,20.99,$-1.14,0.0
2023-09-30,21.24,$-1.19,0.0
2023-06-30,26.98,$-1.35,0.0
2023-03-31,19.67,$-1.59,0.0
2022-12-31,13.6,$-1.79,0.0
2022-09-30,17.46,$-1.90,0.0
2022-06-30,13.2,$-1.97,0.0
2022-03-31,22.6,$-1.85,0.0
2021-12-31,22.21,$-1.70,0.0
2021-09-30,21.42,$-1.55,0.0
2021-06-30,31.47,$-1.40,0.0
2021-03-31,31.81,$-1.42,0.0
2020-12-31,29.9,$-1.52,0.0
2020-09-30,23.72,$-1.60,0.0
2020-06-30,15.94,$-1.73,0.0
2020-03-31,11.95,$-1.64,0.0
2019-12-31,21.5,$-1.55,0.0
2019-09-30,17.67,$-1.45,0.0
