LGL PE Ratio Historical Data,LGL PE Ratio Historical Data,LGL PE Ratio Historical Data,LGL PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,6.66,,222.0
2024-09-30,6.13,$0.03,204.33
2024-06-30,5.37,$0.04,134.25
2024-03-31,6.35,0,0.0
2023-12-31,6.14,$0.03,204.67
2023-09-30,4.29,$0.03,143.0
2023-06-30,4.76,$-0.26,0.0
2023-03-31,4.28,$-0.58,0.0
2022-12-31,4.05,$-0.58,0.0
2022-09-30,11.32,$-3.80,0.0
2022-06-30,12.98,$2.44,5.32
2022-03-31,10.95,$2.78,3.94
2021-12-31,11.4,$2.76,4.13
2021-09-30,13.79,$5.96,2.31
2021-06-30,10.41,$0.11,94.64
2021-03-31,10.99,$0.16,68.69
2020-12-31,12.54,$0.19,66.0
2020-09-30,8.92,$0.40,22.3
2020-06-30,8.5,$1.19,7.14
2020-03-31,8.93,$1.33,6.71
2019-12-31,15.0,$1.41,10.64
2019-09-30,10.29,$1.27,8.1
2019-06-30,8.15,$0.46,17.72
2019-03-31,6.54,$0.37,17.68
2018-12-31,6.1,$0.29,21.03
2018-09-30,7.1,$0.23,30.87
2018-06-30,5.17,$0.14,36.93
2018-03-31,5.59,$0.05,111.8
2017-12-31,5.62,$0.05,112.35
2017-09-30,5.61,$0.14,40.07
2017-06-30,4.82,$0.14,34.43
2017-03-31,5.08,$0.14,36.29
2016-12-31,5.02,$0.05,100.4
2016-09-30,4.28,$-0.08,0.0
2016-06-30,3.28,$-0.16,0.0
2016-03-31,3.29,$-0.25,0.0
2015-12-31,3.7,$-0.27,0.0
2015-09-30,3.48,$-0.32,0.0
2015-06-30,4.41,$-0.44,0.0
2015-03-31,4.15,$-0.85,0.0
2014-12-31,3.58,$-1.09,0.0
2014-09-30,3.85,$-1.75,0.0
2014-06-30,5.15,$-2.02,0.0
2014-03-31,5.25,$-3.44,0.0
2013-12-31,5.41,$-3.16,0.0
2013-09-30,5.99,$-2.48,0.0
2013-06-30,6.53,$-2.14,0.0
2013-03-31,5.63,$-0.31,0.0
2012-12-31,5.25,$-0.51,0.0
2012-09-30,6.3,$-0.54,0.0
2012-06-30,6.52,$-0.39,0.0
2012-03-31,7.26,$-0.18,0.0
2011-12-31,7.33,$0.15,48.87
2011-09-30,8.8,$2.13,4.13
2011-06-30,9.89,$2.98,3.32
2011-03-31,13.89,$3.82,3.64
2010-12-31,17.99,$4.19,4.29
2010-09-30,21.95,$2.47,8.89
2010-06-30,11.24,$1.15,9.77
2010-03-31,5.51,$-0.25,0.0
2009-12-31,3.29,$-1.16,0.0
