Northeast Community Bancorp PE Ratio Historical Data,Northeast Community Bancorp PE Ratio Historical Data,Northeast Community Bancorp PE Ratio Historical Data,Northeast Community Bancorp PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,23.41,,8.42
2024-12-31,24.46,$2.78,8.8
2024-09-30,26.45,$3.60,7.35
2024-06-30,17.82,$3.45,5.17
2024-03-31,15.73,$3.23,4.87
2023-12-31,17.74,$3.14,5.65
2023-09-30,14.76,$2.86,5.16
2023-06-30,14.88,$2.55,5.84
2023-03-31,13.12,$2.15,6.1
2022-12-31,14.92,$1.61,9.27
2022-09-30,12.4,$1.34,9.25
2022-06-30,11.71,$0.90,13.01
2022-03-31,11.93,$0.86,13.87
2021-12-31,10.84,$0.63,17.2
2021-09-30,10.49,$0.36,29.13
2021-06-30,6.62,$0.31,21.34
2021-03-31,6.59,0,0.0
2020-12-31,6.59,0,0.0
2020-09-30,6.53,0,0.0
2020-06-30,6.5,$0.06,108.92
2020-03-31,6.47,$0.06,108.46
2015-12-31,6.28,$0.06,105.22
2015-09-30,6.73,$0.06,112.71
2015-06-30,6.71,0,0.0
2015-03-31,6.19,$0.03,206.91
2014-12-31,6.44,$0.04,143.69
2014-09-30,6.15,$0.05,117.68
2014-06-30,6.25,$0.07,83.67
2014-03-31,6.18,$0.07,91.96
2013-12-31,6.33,$0.07,94.2
2013-09-30,5.89,$-0.07,0.0
2013-06-30,5.49,$-0.15,0.0
2013-03-31,4.73,$-0.16,0.0
2012-12-31,4.55,$-0.16,0.0
2012-09-30,4.8,$-0.03,0.0
2012-06-30,4.52,$0.06,75.7
2012-03-31,4.78,$0.09,53.4
2011-12-31,4.74,$0.13,37.37
2011-09-30,5.07,$0.17,29.54
2011-06-30,5.68,$0.17,33.06
2011-03-31,4.83,$0.13,35.97
2010-12-31,4.64,$0.11,41.42
2010-09-30,4.88,$-0.06,0.0
2010-06-30,4.7,$-0.14,0.0
2010-03-31,5.87,$-0.16,0.0
2009-12-31,5.34,$-0.16,0.0
