Can-Fite Biopharma PE Ratio Historical Data,Can-Fite Biopharma PE Ratio Historical Data,Can-Fite Biopharma PE Ratio Historical Data,Can-Fite Biopharma PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.51,,0.0
2024-06-30,2.58,$-2.75,0.0
2023-03-31,2.29,$-9.95,0.0
2022-03-31,12.4,$-21.30,0.0
2021-03-31,24.7,$-35.39,0.0
2020-03-31,13.1,$-46.19,0.0
2019-03-31,131.25,$-56.98,0.0
2018-03-31,216.0,$-35.98,0.0
2017-03-31,286.5,$-65.97,0.0
2016-03-31,418.5,$-74.96,0.0
2015-12-31,438.0,$-62.97,0.0
2015-09-30,621.0,$-101.95,0.0
2015-06-30,328.5,$-71.97,0.0
2015-03-31,334.5,$-80.96,0.0
2014-12-31,525.0,$-107.95,0.0
2014-09-30,490.5,$-143.93,0.0
2014-06-30,535.49,$-98.95,0.0
2014-03-31,753.0,$-107.95,0.0
2013-12-31,901.5,$-136.43,0.0
