Lowe's PE Ratio Historical Data,Lowe's PE Ratio Historical Data,Lowe's PE Ratio Historical Data,Lowe's PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,226.26,,18.53
2025-01-31,260.04,$12.21,21.3
2024-10-31,261.83,$11.99,21.84
2024-07-31,244.47,$12.06,20.27
2024-04-30,225.9,$12.45,18.14
2024-01-31,209.9,$13.16,15.95
2023-10-31,186.98,$12.97,14.42
2023-07-31,228.51,$10.16,22.49
2023-04-30,201.77,$10.27,19.65
2023-01-31,201.15,$10.01,20.1
2022-10-31,187.35,$10.21,18.35
2022-07-31,183.07,$12.69,14.43
2022-04-30,187.95,$12.27,15.32
2022-01-31,224.73,$11.97,18.77
2021-10-31,220.64,$11.51,19.17
2021-07-31,181.18,$9.69,18.7
2021-04-30,183.77,$9.18,20.02
2021-01-31,155.78,$7.73,20.15
2020-10-31,147.09,$7.07,20.81
2020-07-31,138.08,$7.52,18.36
2020-04-30,96.76,$5.92,16.34
2020-01-31,106.74,$5.47,19.51
2019-10-31,102.03,$3.78,26.99
2019-07-31,92.24,$3.20,28.83
2019-04-30,102.37,$2.92,35.06
2019-01-31,86.64,$2.80,30.94
2018-10-31,85.35,$4.50,18.97
2018-07-31,88.61,$4.77,18.58
2018-04-30,73.17,$4.59,15.94
2018-01-31,92.51,$4.10,22.56
2017-10-31,70.35,$4.17,16.87
2017-07-31,67.77,$3.55,19.09
2017-04-30,73.91,$3.18,23.24
2017-01-31,63.37,$3.46,18.31
2016-10-31,57.52,$2.73,21.07
2016-07-31,70.65,$3.10,22.79
2016-04-30,65.0,$2.99,21.74
2016-01-31,61.05,$2.71,22.53
2015-10-31,62.64,$3.16,19.82
2015-07-31,58.63,$2.95,19.87
2015-04-30,57.96,$2.79,20.77
2015-01-31,56.86,$2.70,21.06
2014-10-31,47.83,$2.53,18.91
2014-07-31,39.84,$2.41,16.53
2014-04-30,38.04,$2.25,16.91
2014-01-31,38.21,$2.13,17.94
2013-10-31,40.94,$2.10,19.49
2013-07-31,36.52,$1.98,18.45
2013-04-30,31.35,$1.74,18.02
2013-01-31,31.03,$1.68,18.47
2012-10-31,26.2,$1.68,15.59
2012-07-31,20.43,$1.51,13.53
2012-04-30,25.18,$1.51,16.68
2012-01-31,21.37,$1.42,15.05
2011-10-31,16.66,$1.37,12.16
2011-07-31,16.99,$1.48,11.48
2011-04-30,20.53,$1.42,14.46
2011-01-31,19.32,$1.42,13.6
2010-10-31,16.55,$1.35,12.26
2010-07-31,16.0,$1.29,12.4
2010-04-30,20.81,$1.22,17.06
2010-01-31,16.56,$1.20,13.8
2009-10-31,14.91,$1.17,12.74
