GoPro PE Ratio Historical Data,GoPro PE Ratio Historical Data,GoPro PE Ratio Historical Data,GoPro PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.78,,0.0
2024-12-31,1.09,$-2.60,0.0
2024-09-30,1.36,$-2.62,0.0
2024-06-30,1.42,$-2.59,0.0
2024-03-31,2.23,$-2.39,0.0
2023-12-31,3.47,$-0.34,0.0
2023-09-30,3.14,$-0.30,0.0
2023-06-30,4.14,$-0.18,0.0
2023-03-31,5.03,$-0.05,0.0
2022-12-31,4.98,$0.18,27.67
2022-09-30,4.93,$0.48,10.27
2022-06-30,5.53,$2.30,2.4
2022-03-31,8.53,$2.38,3.58
2021-12-31,10.31,$2.27,4.54
2021-09-30,9.36,$2.23,4.2
2021-06-30,11.65,$0.33,35.3
2021-03-31,11.64,$-0.11,0.0
2020-12-31,8.28,$-0.47,0.0
2020-09-30,4.53,$-0.10,0.0
2020-06-30,4.76,$-0.63,0.0
2020-03-31,2.62,$-0.37,0.0
2019-12-31,4.34,$-0.11,0.0
2019-09-30,5.19,$-0.54,0.0
2019-06-30,5.46,$-0.22,0.0
2019-03-31,6.5,$-0.41,0.0
2018-12-31,4.24,$-0.79,0.0
2018-09-30,7.2,$-1.42,0.0
2018-06-30,6.44,$-1.13,0.0
2018-03-31,4.79,$-1.08,0.0
2017-12-31,7.57,$-1.31,0.0
2017-09-30,11.01,$-1.72,0.0
2017-06-30,8.13,$-2.56,0.0
2017-03-31,8.7,$-3.00,0.0
2016-12-31,8.71,$-3.00,0.0
2016-09-30,16.68,$-2.43,0.0
2016-06-30,10.81,$-1.56,0.0
2016-03-31,11.96,$-0.66,0.0
2015-12-31,18.01,$0.23,78.3
2015-09-30,31.22,$1.31,23.83
2015-06-30,52.72,$1.28,41.19
2015-03-31,43.41,$0.80,54.26
