ADTRAN Holdings PE Ratio Historical Data,ADTRAN Holdings PE Ratio Historical Data,ADTRAN Holdings PE Ratio Historical Data,ADTRAN Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,9.04,,0.0
2024-12-31,8.33,$-5.69,0.0
2024-09-30,5.93,$-6.51,0.0
2024-06-30,5.26,$-7.08,0.0
2024-03-31,5.44,$-6.88,0.0
2023-12-31,7.34,$-3.20,0.0
2023-09-30,8.23,$-1.31,0.0
2023-06-30,10.53,$-0.95,0.0
2023-03-31,15.86,$-0.48,0.0
2022-12-31,18.79,$-0.06,0.0
2022-09-30,19.58,$-0.64,0.0
2022-06-30,17.46,$-0.28,0.0
2022-03-31,18.29,$-0.22,0.0
2021-12-31,22.54,$-0.18,0.0
2021-09-30,18.44,$0.04,461.02
2021-06-30,20.22,$0.36,56.17
2021-03-31,16.26,$0.28,58.06
2020-12-31,14.32,$0.05,286.3
2020-09-30,9.87,$-0.34,0.0
2020-06-30,10.44,$-1.41,0.0
2020-03-31,7.28,$-1.32,0.0
2019-12-31,9.27,$-1.09,0.0
2019-09-30,10.54,$-1.01,0.0
2019-06-30,14.05,$0.11,127.72
2019-03-31,12.55,$-0.16,0.0
2018-12-31,9.78,$-0.37,0.0
2018-09-30,15.97,$-0.42,0.0
2018-06-30,13.36,$-0.25,0.0
2018-03-31,13.91,$0.17,81.81
2017-12-31,17.21,$0.50,34.42
2017-09-30,21.25,$0.89,23.88
2017-06-30,18.22,$0.82,22.22
2017-03-31,18.23,$0.77,23.67
2016-12-31,19.55,$0.73,26.78
2016-09-30,16.66,$0.69,24.14
2016-06-30,16.15,$0.57,28.34
2016-03-31,17.43,$0.41,42.52
2015-12-31,14.77,$0.37,39.93
2015-09-30,12.45,$0.42,29.64
2015-06-30,13.78,$0.49,28.12
2015-03-31,15.74,$0.70,22.49
2014-12-31,18.31,$0.81,22.6
2014-09-30,17.24,$0.84,20.52
2014-06-30,18.87,$0.91,20.73
2014-03-31,20.33,$0.82,24.8
2013-12-31,22.42,$0.78,28.74
2013-09-30,22.03,$0.64,34.42
2013-06-30,20.29,$0.51,39.79
2013-03-31,16.13,$0.67,24.07
2012-12-31,15.97,$0.74,21.58
2012-09-30,14.04,$1.16,12.11
2012-06-30,24.43,$1.57,15.56
2012-03-31,25.16,$1.80,13.98
2011-12-31,24.27,$2.12,11.45
2011-09-30,21.23,$2.20,9.65
2011-06-30,30.98,$2.14,14.47
2011-03-31,33.9,$2.02,16.78
2010-12-31,28.85,$1.79,16.12
2010-09-30,28.05,$1.52,18.45
2010-06-30,21.6,$1.36,15.89
2010-03-31,20.81,$1.22,17.05
2009-12-31,17.73,$1.17,15.16
