Toyota PE Ratio Historical Data,Toyota PE Ratio Historical Data,Toyota PE Ratio Historical Data,Toyota PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,192.17,,10.59
2024-12-31,194.61,$18.15,10.72
2024-06-30,202.03,$24.69,8.18
2024-03-31,248.07,$25.39,9.77
2023-12-31,180.75,$23.47,7.7
2023-09-30,177.17,$20.44,8.67
2023-06-30,156.72,$16.20,9.67
2023-03-31,138.14,$13.29,10.39
2022-12-31,130.82,$13.56,9.65
2022-09-30,124.79,$14.81,8.43
2022-06-30,145.75,$16.60,8.78
2022-03-31,170.4,$18.33,9.3
2021-12-31,173.07,$20.17,8.58
2021-09-30,166.01,$20.81,7.98
2021-06-30,161.47,$19.87,8.13
2021-03-31,144.13,$15.06,9.57
2020-12-31,140.51,$10.33,13.6
2020-09-30,120.4,$9.45,12.74
2020-06-30,112.52,$10.17,11.06
2020-03-31,107.43,$13.43,8.0
2019-12-31,123.67,$15.87,7.79
2019-09-30,118.35,$12.19,9.71
2019-06-30,107.66,$11.91,9.04
2019-03-31,102.48,$11.67,8.78
2018-12-31,99.17,$11.78,8.42
2018-09-30,106.24,$16.24,6.54
2018-06-30,108.52,$15.41,7.04
2018-03-31,109.83,$14.98,7.33
2017-12-31,105.36,$14.30,7.37
2017-09-30,98.73,$11.65,8.47
2017-06-30,85.72,$11.40,7.52
2017-03-31,88.66,$11.07,8.01
2016-12-31,93.98,$11.15,8.43
2016-09-30,93.07,$11.50,8.09
2016-06-30,78.99,$12.15,6.5
2016-03-31,83.99,$12.20,6.88
2015-12-31,95.43,$12.18,7.83
2015-09-30,90.96,$12.06,7.54
2015-06-30,102.29,$11.90,8.6
2015-03-31,106.98,$12.14,8.81
2014-12-31,95.96,$11.60,8.27
2014-09-30,89.88,$11.72,7.67
2014-06-30,91.51,$11.52,7.94
2014-03-31,86.34,$11.49,7.51
2013-12-31,91.62,$11.80,7.76
2013-09-30,96.21,$9.21,10.45
2013-06-30,89.86,$8.43,10.66
2013-03-31,76.44,$7.19,10.63
2012-12-31,68.61,$6.00,11.43
2012-09-30,57.76,$5.99,9.64
2012-06-30,58.72,$4.63,12.68
2012-03-31,63.34,$2.30,27.54
2011-12-31,47.86,$1.53,31.28
2011-09-30,49.4,$1.58,31.26
2011-06-30,59.24,$1.68,35.26
2011-03-31,57.68,$3.01,19.16
2010-12-31,56.05,$3.61,15.53
2010-09-30,51.02,$1.73,29.49
2010-06-30,48.56,$1.12,43.36
2010-03-31,56.96,$-0.74,0.0
2009-12-31,58.82,$-2.23,0.0
