NVIDIA PE Ratio Historical Data,NVIDIA PE Ratio Historical Data,NVIDIA PE Ratio Historical Data,NVIDIA PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,118.53,,40.34
2025-01-31,120.07,$2.94,40.87
2024-10-31,132.75,$2.54,52.24
2024-07-31,117.0,$2.13,54.88
2024-04-30,86.38,$1.71,50.52
2024-01-31,61.51,$1.19,51.52
2023-10-31,40.77,$0.76,53.78
2023-07-31,46.71,$0.41,112.82
2023-04-30,27.73,$0.19,144.45
2023-01-31,19.52,$0.17,112.2
2022-10-31,13.48,$0.24,57.38
2022-07-31,18.14,$0.31,59.48
2022-04-30,18.52,$0.37,49.65
2022-01-31,24.45,$0.38,63.53
2021-10-31,25.52,$0.32,78.63
2021-07-31,19.46,$0.28,69.36
2021-04-30,14.98,$0.21,70.85
2021-01-31,12.96,$0.17,75.16
2020-10-31,12.5,$0.15,81.75
2020-07-31,10.58,$0.14,77.7
2020-04-30,7.28,$0.13,54.38
2020-01-31,5.89,$0.11,52.04
2019-10-31,5.0,$0.10,51.13
2019-07-31,4.19,$0.11,37.84
2019-04-30,4.49,$0.13,33.96
2019-01-31,3.56,$0.17,21.5
2018-10-31,5.23,$0.19,27.91
2018-07-31,6.07,$0.17,35.43
2018-04-30,5.57,$0.15,37.07
2018-01-31,6.08,$0.12,50.45
2017-10-31,5.12,$0.10,50.7
2017-07-31,4.02,$0.09,45.44
2017-04-30,2.58,$0.08,34.16
2017-01-31,2.69,$0.06,42.13
2016-10-31,1.75,$0.05,36.58
2016-07-31,1.4,$0.04,36.83
2016-04-30,0.87,$0.03,29.63
2016-01-31,0.72,$0.03,26.4
2015-10-31,0.69,$0.03,25.48
2015-07-31,0.48,$0.02,20.23
2015-04-30,0.54,$0.03,19.05
2015-01-31,0.46,$0.03,16.42
2014-10-31,0.47,$0.03,18.27
2014-07-31,0.42,$0.02,18.29
2014-04-30,0.44,$0.02,20.56
2014-01-31,0.37,$0.02,19.92
2013-10-31,0.36,$0.02,18.48
2013-07-31,0.34,$0.02,14.92
2013-04-30,0.32,$0.02,13.68
2013-01-31,0.28,$0.02,12.53
2012-10-31,0.27,$0.02,13.48
2012-07-31,0.31,$0.02,16.02
2012-04-30,0.3,$0.02,14.28
2012-01-31,0.34,$0.02,14.18
2011-10-31,0.34,$0.03,13.02
2011-07-31,0.32,$0.02,14.04
2011-04-30,0.46,$0.01,45.91
2011-01-31,0.55,$0.01,53.31
2010-10-31,0.28,$0.01,0.0
2010-07-31,0.21,$0.01,20.88
2010-04-30,0.36,$0.01,31.09
2010-01-31,0.35,$-0.00,0.0
2009-10-31,0.27,$-0.02,0.0
