Venus Concept PE Ratio Historical Data,Venus Concept PE Ratio Historical Data,Venus Concept PE Ratio Historical Data,Venus Concept PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.68,,0.0
2024-09-30,0.61,$-88.23,0.0
2024-06-30,0.78,$-92.19,0.0
2024-03-31,0.69,$-73.49,0.0
2023-12-31,1.18,$-75.36,0.0
2023-09-30,1.96,$-76.34,0.0
2023-06-30,2.1,$-94.58,0.0
2023-03-31,3.29,$-106.12,0.0
2022-12-31,4.8,$-107.21,0.0
2022-09-30,6.6,$-97.31,0.0
2022-06-30,6.96,$-90.71,0.0
2022-03-31,21.45,$-62.68,0.0
2021-12-31,25.5,$-69.27,0.0
2021-09-30,37.65,$-112.16,0.0
2021-06-30,46.65,$-112.16,0.0
2021-03-31,35.25,$-178.13,0.0
2020-12-31,25.95,$-430.48,0.0
2020-09-30,34.8,$-550.88,0.0
2020-06-30,52.35,$-689.42,0.0
2020-03-31,53.25,"$-1,094.92",0.0
2019-12-31,70.5,"$-1,259.64",0.0
2019-09-30,146.23,"$-1,577.71",0.0
2019-06-30,137.25,"$-1,904.04",0.0
2019-03-31,132.75,"$-1,953.50",0.0
2018-12-31,98.01,"$-2,151.32",0.0
2018-09-30,652.5,"$-1,755.68",0.0
