Urban-gro PE Ratio Historical Data,Urban-gro PE Ratio Historical Data,Urban-gro PE Ratio Historical Data,Urban-gro PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.65,,0.0
2024-09-30,1.38,$-1.12,0.0
2024-06-30,1.33,$-1.11,0.0
2024-03-31,1.37,$-1.37,0.0
2023-12-31,1.4,$-1.67,0.0
2023-09-30,1.36,$-1.66,0.0
2023-06-30,1.18,$-2.18,0.0
2023-03-31,2.7,$-1.85,0.0
2022-12-31,2.72,$-1.44,0.0
2022-09-30,2.79,$-1.11,0.0
2022-06-30,4.84,$-0.30,0.0
2022-03-31,10.74,$-0.02,0.0
2021-12-31,10.48,$-0.15,0.0
