Lifezone Metals PE Ratio Historical Data,Lifezone Metals PE Ratio Historical Data,Lifezone Metals PE Ratio Historical Data,Lifezone Metals PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,4.5,,0.0
2024-06-30,7.68,$-4.62,0.0
2023-12-31,9.04,$-4.53,0.0
2023-09-30,12.27,$-4.53,0.0
2023-06-30,11.09,0,0.0
2023-03-31,10.55,0,0.0
2022-12-31,10.38,0,0.0
2022-09-30,10.14,0,0.0
