Global Water Resources PE Ratio Historical Data,Global Water Resources PE Ratio Historical Data,Global Water Resources PE Ratio Historical Data,Global Water Resources PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,11.09,,46.21
2024-12-31,11.5,$0.24,47.92
2024-09-30,12.52,$0.27,46.35
2024-06-30,11.96,$0.26,45.99
2024-03-31,12.61,$0.26,48.51
2023-12-31,12.77,$0.33,38.7
2023-09-30,9.46,$0.32,29.56
2023-06-30,12.22,$0.28,43.65
2023-03-31,11.93,$0.30,39.77
2022-12-31,12.68,$0.24,52.83
2022-09-30,11.13,$0.22,50.6
2022-06-30,12.47,$0.22,56.68
2022-03-31,15.62,$0.22,71.02
2021-12-31,15.98,$0.17,94.0
2021-09-30,17.42,$0.14,124.43
2021-06-30,15.83,$0.12,131.94
2021-03-31,15.05,$0.02,752.75
2020-12-31,13.24,$0.01,1324.49
2020-09-30,9.85,$0.01,985.18
2020-06-30,9.57,$0.01,957.16
2020-03-31,9.19,$0.06,153.18
2019-12-31,11.79,$0.11,107.17
2019-09-30,10.55,$0.12,87.95
2019-06-30,9.27,$0.10,92.68
2019-03-31,8.65,$0.17,50.85
2018-12-31,8.87,$0.16,55.43
2018-09-30,9.2,$0.30,30.67
2018-06-30,8.11,$0.33,24.57
2018-03-31,7.68,$0.24,31.98
2017-12-31,7.93,$0.22,36.05
2017-09-30,7.94,$0.08,99.25
2017-06-30,8.28,$0.08,103.56
2017-03-31,7.23,$-0.13,0.0
